Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-01 00:00:00+05:30,35.29999923706055,35.29999923706055,33.54999923706055,33.95000076293945,263550,0.0,0.0
2015-01-02 00:00:00+05:30,33.95000076293945,34.5,33.29999923706055,33.95000076293945,331672,0.0,0.0
2015-01-05 00:00:00+05:30,33.5,34.400001525878906,33.45000076293945,33.54999923706055,162457,0.0,0.0
2015-01-06 00:00:00+05:30,33.400001525878906,33.400001525878906,31.75,32.54999923706055,390308,0.0,0.0
2015-01-07 00:00:00+05:30,32.04999923706055,32.95000076293945,31.799999237060547,32.5,284909,0.0,0.0
2015-01-08 00:00:00+05:30,32.20000076293945,34.150001525878906,32.20000076293945,33.75,253655,0.0,0.0
2015-01-09 00:00:00+05:30,33.79999923706055,35.95000076293945,33.70000076293945,35.0,1009086,0.0,0.0
2015-01-12 00:00:00+05:30,34.70000076293945,35.0,34.20000076293945,34.79999923706055,286627,0.0,0.0
2015-01-13 00:00:00+05:30,34.599998474121094,35.150001525878906,33.599998474121094,34.099998474121094,335216,0.0,0.0
2015-01-14 00:00:00+05:30,33.900001525878906,34.5,33.20000076293945,34.20000076293945,264657,0.0,0.0
2015-01-15 00:00:00+05:30,34.5,34.75,33.650001525878906,34.5,524621,0.0,0.0
2015-01-16 00:00:00+05:30,34.400001525878906,34.75,33.75,34.5,323587,0.0,0.0
2015-01-19 00:00:00+05:30,34.5,34.79999923706055,34.0,34.599998474121094,170265,0.0,0.0
2015-01-20 00:00:00+05:30,34.099998474121094,36.45000076293945,34.099998474121094,34.599998474121094,737266,0.0,0.0
2015-01-21 00:00:00+05:30,34.599998474121094,35.20000076293945,34.20000076293945,34.70000076293945,788719,0.0,0.0
2015-01-22 00:00:00+05:30,34.849998474121094,35.650001525878906,34.54999923706055,35.349998474121094,277606,0.0,0.0
2015-01-23 00:00:00+05:30,35.0,36.5,34.54999923706055,36.150001525878906,664602,0.0,0.0
2015-01-27 00:00:00+05:30,37.0,37.0,35.400001525878906,35.75,271936,0.0,0.0
2015-01-28 00:00:00+05:30,35.75,36.0,34.70000076293945,35.20000076293945,969208,0.0,0.0
2015-01-29 00:00:00+05:30,35.04999923706055,35.900001525878906,34.400001525878906,35.400001525878906,238904,0.0,0.0
2015-01-30 00:00:00+05:30,35.400001525878906,35.95000076293945,34.0,35.04999923706055,237090,0.0,0.0
2015-02-02 00:00:00+05:30,35.04999923706055,35.25,34.5,35.0,192948,0.0,0.0
2015-02-03 00:00:00+05:30,35.29999923706055,35.349998474121094,33.599998474121094,34.54999923706055,613599,0.0,0.0
2015-02-04 00:00:00+05:30,34.900001525878906,34.900001525878906,33.70000076293945,34.0,1116827,0.0,0.0
2015-02-05 00:00:00+05:30,33.79999923706055,34.20000076293945,32.75,33.54999923706055,737310,0.0,0.0
2015-02-06 00:00:00+05:30,33.75,33.75,32.54999923706055,32.95000076293945,904661,0.0,0.0
2015-02-09 00:00:00+05:30,33.900001525878906,33.900001525878906,26.399999618530273,32.79999923706055,451304,0.0,0.0
2015-02-10 00:00:00+05:30,32.70000076293945,33.5,32.29999923706055,33.0,2555067,0.0,0.0
2015-02-11 00:00:00+05:30,32.75,34.400001525878906,32.5,33.95000076293945,436313,0.0,0.0
2015-02-12 00:00:00+05:30,33.95000076293945,35.400001525878906,33.5,34.650001525878906,536702,0.0,0.0
2015-02-13 00:00:00+05:30,34.95000076293945,35.95000076293945,34.099998474121094,35.599998474121094,921383,0.0,0.0
2015-02-16 00:00:00+05:30,35.04999923706055,36.400001525878906,34.900001525878906,35.70000076293945,548338,0.0,0.0
2015-02-18 00:00:00+05:30,35.0,36.900001525878906,34.900001525878906,36.650001525878906,832931,0.0,0.0
2015-02-19 00:00:00+05:30,36.70000076293945,37.400001525878906,35.849998474121094,37.04999923706055,1031476,0.0,0.0
2015-02-20 00:00:00+05:30,37.099998474121094,37.45000076293945,36.5,36.849998474121094,420417,0.0,0.0
2015-02-23 00:00:00+05:30,37.29999923706055,37.29999923706055,34.849998474121094,36.150001525878906,1487506,0.0,0.0
2015-02-24 00:00:00+05:30,35.29999923706055,36.599998474121094,35.20000076293945,36.29999923706055,938972,0.0,0.0
2015-02-25 00:00:00+05:30,36.25,36.599998474121094,34.95000076293945,36.150001525878906,1477538,0.0,0.0
2015-02-26 00:00:00+05:30,35.599998474121094,36.95000076293945,35.599998474121094,36.54999923706055,722697,0.0,0.0
2015-02-27 00:00:00+05:30,36.45000076293945,36.95000076293945,35.5,36.25,1613926,0.0,0.0
2015-03-02 00:00:00+05:30,36.650001525878906,36.650001525878906,35.45000076293945,35.900001525878906,1174612,0.0,0.0
2015-03-03 00:00:00+05:30,36.099998474121094,36.5,35.75,36.349998474121094,898935,0.0,0.0
2015-03-04 00:00:00+05:30,36.5,38.5,35.900001525878906,37.29999923706055,1183181,0.0,0.0
