Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-01 00:00:00+05:30,31.0,31.0,30.0,30.0,523,0.0,0.0
2015-01-02 00:00:00+05:30,30.0,31.0,30.0,30.0,239,0.0,0.0
2015-01-05 00:00:00+05:30,29.0,31.0,29.0,31.0,936,0.0,0.0
2015-01-06 00:00:00+05:30,31.0,32.0,30.0,30.0,2196,0.0,0.0
2015-01-07 00:00:00+05:30,30.0,31.0,29.0,30.0,950,0.0,0.0
2015-01-08 00:00:00+05:30,30.0,31.0,30.0,30.0,1143,0.0,0.0
2015-01-09 00:00:00+05:30,31.0,31.0,30.0,30.0,934,0.0,0.0
2015-01-12 00:00:00+05:30,31.0,31.0,29.0,30.0,2367,0.0,0.0
2015-01-13 00:00:00+05:30,30.0,31.0,29.0,29.0,833,0.0,0.0
2015-01-14 00:00:00+05:30,28.0,30.0,28.0,29.0,151,0.0,0.0
2015-01-15 00:00:00+05:30,29.0,30.0,29.0,30.0,785,0.0,0.0
2015-01-16 00:00:00+05:30,29.0,31.0,29.0,31.0,3326,0.0,0.0
2015-01-19 00:00:00+05:30,31.0,32.0,30.0,32.0,960,0.0,0.0
2015-01-20 00:00:00+05:30,32.0,33.0,31.0,33.0,225,0.0,0.0
2015-01-21 00:00:00+05:30,33.0,33.0,32.0,32.0,150,0.0,0.0
2015-01-22 00:00:00+05:30,31.0,32.0,31.0,31.0,701,0.0,0.0
2015-01-23 00:00:00+05:30,30.0,31.0,30.0,30.0,841,0.0,0.0
2015-01-27 00:00:00+05:30,29.0,31.0,29.0,30.0,612,0.0,0.0
2015-01-28 00:00:00+05:30,31.0,31.0,29.0,31.0,573,0.0,0.0
2015-01-29 00:00:00+05:30,30.0,32.0,30.0,31.0,550,0.0,0.0
2015-01-30 00:00:00+05:30,30.0,32.0,30.0,31.0,2202,0.0,0.0
2015-02-02 00:00:00+05:30,30.0,31.0,30.0,31.0,1322,0.0,0.0
2015-02-03 00:00:00+05:30,30.0,31.0,30.0,30.0,115,0.0,0.0
2015-02-04 00:00:00+05:30,30.0,30.0,29.0,29.0,1285,0.0,0.0
2015-02-05 00:00:00+05:30,28.0,30.0,28.0,29.0,1122,0.0,0.0
2015-02-06 00:00:00+05:30,28.0,30.0,28.0,29.0,2278,0.0,0.0
2015-02-09 00:00:00+05:30,28.0,30.0,28.0,30.0,319,0.0,0.0
2015-02-10 00:00:00+05:30,29.0,30.0,29.0,29.0,2019,0.0,0.0
2015-02-11 00:00:00+05:30,28.0,30.0,28.0,30.0,1457,0.0,0.0
2015-02-12 00:00:00+05:30,29.0,30.0,29.0,30.0,1316,0.0,0.0
2015-02-13 00:00:00+05:30,29.0,29.0,29.0,29.0,774,0.0,0.0
2015-02-16 00:00:00+05:30,28.0,30.0,28.0,29.0,714,0.0,0.0
2015-02-18 00:00:00+05:30,29.0,30.0,28.0,30.0,2827,0.0,0.0
2015-02-19 00:00:00+05:30,30.0,30.0,30.0,30.0,67,0.0,0.0
2015-02-20 00:00:00+05:30,30.0,31.0,29.0,31.0,1851,0.0,0.0
2015-02-23 00:00:00+05:30,31.0,32.0,30.0,31.0,1664,0.0,0.0
2015-02-24 00:00:00+05:30,32.0,32.0,32.0,32.0,1170,0.0,0.0
2015-02-25 00:00:00+05:30,33.0,33.0,33.0,33.0,382,0.0,0.0
2015-02-26 00:00:00+05:30,34.0,34.0,34.0,34.0,320,0.0,0.0
2015-02-27 00:00:00+05:30,33.0,35.0,33.0,35.0,266,0.0,0.0
2015-03-02 00:00:00+05:30,33.0,35.0,33.0,34.0,1742,0.0,0.0
2015-03-03 00:00:00+05:30,33.0,35.0,33.0,35.0,865,0.0,0.0
2015-03-04 00:00:00+05:30,35.0,35.0,34.0,34.0,192,0.0,0.0
2015-03-05 00:00:00+05:30,34.0,34.0,34.0,34.0,0,0.0,0.0
2015-03-09 00:00:00+05:30,33.0,33.0,33.0,33.0,51,0.0,0.0
2015-03-10 00:00:00+05:30,32.0,32.0,32.0,32.0,5,0.0,0.0
