Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
9-October-2023,3.3,3.3,3.15,3.3,33603,19,McNally Bharat Engineering Company Limited
6-October-2023,2.93,3.15,2.93,3.15,30173,56,McNally Bharat Engineering Company Limited
5-October-2023,3.09,3.09,2.95,3.0,154942,42,McNally Bharat Engineering Company Limited
4-October-2023,2.96,3.23,2.93,2.95,285481,97,McNally Bharat Engineering Company Limited
3-October-2023,3.08,3.08,3.08,3.08,166092,82,McNally Bharat Engineering Company Limited
25-September-2023,3.3,3.3,3.24,3.24,22437,24,McNally Bharat Engineering Company Limited
18-September-2023,3.41,3.41,3.41,3.41,10081,17,McNally Bharat Engineering Company Limited
11-September-2023,3.6,3.6,3.58,3.58,133616,25,McNally Bharat Engineering Company Limited
4-September-2023,3.76,3.76,3.76,3.76,25866,21,McNally Bharat Engineering Company Limited
28-August-2023,4.15,4.15,3.95,3.95,11068,13,McNally Bharat Engineering Company Limited
18-August-2023,4.46,4.49,4.11,4.15,313535,187,McNally Bharat Engineering Company Limited
17-August-2023,4.32,4.32,4.21,4.32,384933,139,McNally Bharat Engineering Company Limited
16-August-2023,4.12,4.12,4.05,4.12,179450,63,McNally Bharat Engineering Company Limited
14-August-2023,3.93,3.93,3.92,3.93,130861,42,McNally Bharat Engineering Company Limited
11-August-2023,3.52,3.75,3.52,3.75,83509,38,McNally Bharat Engineering Company Limited
10-August-2023,3.57,3.58,3.49,3.58,108201,70,McNally Bharat Engineering Company Limited
9-August-2023,3.15,3.46,3.14,3.41,161918,156,McNally Bharat Engineering Company Limited
8-August-2023,3.47,3.47,3.3,3.3,7467,24,McNally Bharat Engineering Company Limited
7-August-2023,3.65,3.72,3.47,3.47,65182,66,McNally Bharat Engineering Company Limited
4-August-2023,3.57,3.79,3.54,3.65,81629,50,McNally Bharat Engineering Company Limited
3-August-2023,3.72,3.72,3.72,3.72,1624,8,McNally Bharat Engineering Company Limited
2-August-2023,3.91,3.91,3.91,3.91,869,6,McNally Bharat Engineering Company Limited
1-August-2023,4.11,4.11,4.11,4.11,9138,14,McNally Bharat Engineering Company Limited
31-July-2023,4.32,4.32,4.32,4.32,15900,2,McNally Bharat Engineering Company Limited
3-July-2023,4.54,4.54,4.54,4.54,2000,2,McNally Bharat Engineering Company Limited
26-June-2023,4.61,4.79,4.61,4.77,1049600,46,McNally Bharat Engineering Company Limited
19-June-2023,5.0,5.0,4.85,4.85,4350,8,McNally Bharat Engineering Company Limited
9-June-2023,4.92,5.19,4.9,5.1,169696,151,McNally Bharat Engineering Company Limited
8-June-2023,4.97,4.97,4.7,4.96,551293,248,McNally Bharat Engineering Company Limited
7-June-2023,4.74,4.74,4.74,4.74,81682,49,McNally Bharat Engineering Company Limited
6-June-2023,4.52,4.52,4.52,4.52,56103,24,McNally Bharat Engineering Company Limited
5-June-2023,4.31,4.31,4.31,4.31,33423,24,McNally Bharat Engineering Company Limited
2-June-2023,4.11,4.11,4.11,4.11,24688,12,McNally Bharat Engineering Company Limited
1-June-2023,3.66,3.92,3.66,3.92,24637,36,McNally Bharat Engineering Company Limited
29-May-2023,3.58,3.74,3.58,3.74,68862,14,McNally Bharat Engineering Company Limited
22-May-2023,3.58,3.89,3.57,3.57,161845,73,McNally Bharat Engineering Company Limited
15-May-2023,3.93,3.93,3.74,3.75,54088,36,McNally Bharat Engineering Company Limited
8-May-2023,3.82,4.22,3.82,3.93,440670,169,McNally Bharat Engineering Company Limited
2-May-2023,4.02,4.02,4.02,4.02,9171,6,McNally Bharat Engineering Company Limited
24-April-2023,4.23,4.23,4.23,4.23,3215,6,McNally Bharat Engineering Company Limited
13-April-2023,4.45,4.45,4.45,4.45,85002,33,McNally Bharat Engineering Company Limited
12-April-2023,4.24,4.24,4.24,4.24,126514,45,McNally Bharat Engineering Company Limited
11-April-2023,4.0,4.04,4.0,4.04,35452,23,McNally Bharat Engineering Company Limited
10-April-2023,3.67,3.85,3.67,3.85,69401,59,McNally Bharat Engineering Company Limited
6-April-2023,3.35,3.68,3.35,3.67,26406,48,McNally Bharat Engineering Company Limited
5-April-2023,3.31,3.54,3.3,3.51,118596,68,McNally Bharat Engineering Company Limited
3-April-2023,3.1,3.4,3.1,3.38,50389,66,McNally Bharat Engineering Company Limited
27-March-2023,3.26,3.26,3.26,3.26,20000,12,McNally Bharat Engineering Company Limited
20-March-2023,3.43,3.43,3.43,3.43,17047,8,McNally Bharat Engineering Company Limited
13-March-2023,3.77,3.77,3.61,3.61,3803,7,McNally Bharat Engineering Company Limited
6-March-2023,3.8,3.8,3.8,3.8,2600,3,McNally Bharat Engineering Company Limited
27-February-2023,4.0,4.0,4.0,4.0,2551,3,McNally Bharat Engineering Company Limited
20-February-2023,4.21,4.21,4.21,4.21,503,2,McNally Bharat Engineering Company Limited
13-February-2023,4.43,4.43,4.43,4.43,3927,17,McNally Bharat Engineering Company Limited
3-February-2023,5.1,5.13,4.66,4.66,94638,144,McNally Bharat Engineering Company Limited
2-February-2023,4.9,4.9,4.72,4.9,278255,236,McNally Bharat Engineering Company Limited
1-February-2023,4.67,4.67,4.67,4.67,114963,84,McNally Bharat Engineering Company Limited
31-January-2023,4.4,4.45,4.25,4.45,221990,124,McNally Bharat Engineering Company Limited
30-January-2023,4.2,4.24,4.05,4.24,116355,89,McNally Bharat Engineering Company Limited
27-January-2023,4.0,4.04,3.9,4.04,294641,158,McNally Bharat Engineering Company Limited
25-January-2023,3.96,3.96,3.65,3.85,123572,122,McNally Bharat Engineering Company Limited
24-January-2023,3.68,3.84,3.67,3.84,136438,84,McNally Bharat Engineering Company Limited
23-January-2023,3.66,3.66,3.55,3.66,75902,111,McNally Bharat Engineering Company Limited
20-January-2023,3.3,3.49,3.3,3.49,27437,46,McNally Bharat Engineering Company Limited
19-January-2023,3.25,3.35,3.15,3.33,12121,33,McNally Bharat Engineering Company Limited
18-January-2023,3.35,3.35,3.18,3.3,23172,38,McNally Bharat Engineering Company Limited
17-January-2023,3.35,3.35,3.15,3.25,26424,54,McNally Bharat Engineering Company Limited
16-January-2023,3.45,3.54,3.23,3.31,35140,64,McNally Bharat Engineering Company Limited
13-January-2023,3.55,3.55,3.34,3.39,22222,72,McNally Bharat Engineering Company Limited
12-January-2023,3.35,3.55,3.35,3.43,19865,76,McNally Bharat Engineering Company Limited
11-January-2023,3.5,3.65,3.43,3.51,32285,43,McNally Bharat Engineering Company Limited
10-January-2023,3.5,3.68,3.46,3.6,30352,43,McNally Bharat Engineering Company Limited
9-January-2023,3.72,3.72,3.61,3.61,64453,34,McNally Bharat Engineering Company Limited
6-January-2023,3.89,3.89,3.71,3.8,13276,24,McNally Bharat Engineering Company Limited
5-January-2023,3.75,3.9,3.7,3.8,8257,35,McNally Bharat Engineering Company Limited
4-January-2023,3.74,3.85,3.67,3.76,11781,48,McNally Bharat Engineering Company Limited
3-January-2023,3.76,4.03,3.67,3.75,22152,47,McNally Bharat Engineering Company Limited
2-January-2023,3.65,3.88,3.65,3.84,38172,52,McNally Bharat Engineering Company Limited
30-December-2022,3.89,3.9,3.7,3.7,69915,59,McNally Bharat Engineering Company Limited
29-December-2022,3.67,3.79,3.65,3.78,23473,48,McNally Bharat Engineering Company Limited
28-December-2022,3.67,3.72,3.45,3.62,56653,63,McNally Bharat Engineering Company Limited
27-December-2022,3.64,3.64,3.4,3.55,6287,28,McNally Bharat Engineering Company Limited
26-December-2022,3.53,3.55,3.39,3.5,27585,22,McNally Bharat Engineering Company Limited
23-December-2022,3.4,3.5,3.39,3.39,18107,54,McNally Bharat Engineering Company Limited
22-December-2022,3.56,3.58,3.56,3.56,23187,36,McNally Bharat Engineering Company Limited
