Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,filename
27-March-2024,59.95,60.7,56.59,58.15,23000,1044,HOV Services Limited
26-March-2024,60.12,61.5,57.61,58.51,13149,170,HOV Services Limited
22-March-2024,58.0,59.5,57.25,58.75,1552,10,HOV Services Limited
21-March-2024,58.49,58.5,56.0,56.82,4559,20,HOV Services Limited
20-March-2024,58.3,58.3,55.7,55.75,199,12,HOV Services Limited
19-March-2024,54.5,55.65,53.0,55.65,2777,22,HOV Services Limited
18-March-2024,51.0,55.4,51.0,53.0,2220,20,HOV Services Limited
15-March-2024,53.4,53.4,53.4,53.4,15,1,HOV Services Limited
14-March-2024,54.4,54.4,52.25,53.45,4626,27,HOV Services Limited
13-March-2024,55.29,55.29,54.49,54.49,1725,18,HOV Services Limited
12-March-2024,57.95,57.95,55.29,57.35,40914,27,HOV Services Limited
11-March-2024,61.2,61.2,58.14,58.2,2376,58,HOV Services Limited
7-March-2024,59.05,61.85,58.75,61.2,4055,29,HOV Services Limited
6-March-2024,61.9,61.9,58.81,58.92,1991,41,HOV Services Limited
5-March-2024,63.95,63.95,61.2,61.9,2682,30,HOV Services Limited
4-March-2024,64.5,64.7,62.3,64.0,3710,14,HOV Services Limited
2-March-2024,65.0,65.0,62.7,62.92,770,5,HOV Services Limited
1-March-2024,63.0,66.0,61.0,62.83,19716,49,HOV Services Limited
29-February-2024,64.49,64.5,63.0,63.03,1166,20,HOV Services Limited
28-February-2024,66.35,66.35,63.4,65.7,840,7,HOV Services Limited
27-February-2024,67.99,69.25,65.26,65.7,1591,18,HOV Services Limited
26-February-2024,66.5,68.0,63.86,67.99,1245,17,HOV Services Limited
23-February-2024,65.7,66.55,63.0,66.5,1062,23,HOV Services Limited
22-February-2024,64.5,66.0,64.17,65.63,1403,27,HOV Services Limited
21-February-2024,62.8,64.5,62.5,64.17,4721,43,HOV Services Limited
20-February-2024,62.15,63.0,61.15,61.9,1365,15,HOV Services Limited
19-February-2024,62.5,63.3,61.5,62.0,3952,26,HOV Services Limited
16-February-2024,62.93,64.0,62.93,62.93,3091,26,HOV Services Limited
15-February-2024,63.9,64.35,60.71,63.4,20277,116,HOV Services Limited
14-February-2024,62.6,66.98,61.29,63.9,12286,91,HOV Services Limited
13-February-2024,65.1,65.1,64.51,64.51,3451,32,HOV Services Limited
12-February-2024,70.2,70.2,67.9,67.9,9493,39,HOV Services Limited
9-February-2024,68.0,72.0,68.0,71.47,3879,46,HOV Services Limited
8-February-2024,71.1,73.37,69.11,69.5,5527,69,HOV Services Limited
7-February-2024,75.6,78.4,72.2,72.55,11211,86,HOV Services Limited
6-February-2024,77.1,78.64,74.2,75.9,7019,39,HOV Services Limited
5-February-2024,78.0,79.99,75.2,77.1,6977,52,HOV Services Limited
2-February-2024,78.15,79.95,78.0,78.0,5533,37,HOV Services Limited
1-February-2024,82.61,82.99,78.5,80.0,8281,45,HOV Services Limited
31-January-2024,75.95,79.04,73.6,79.04,9468,44,HOV Services Limited
30-January-2024,74.2,75.28,73.5,75.28,2495,26,HOV Services Limited
29-January-2024,72.77,77.97,72.77,74.1,3561,21,HOV Services Limited
25-January-2024,76.0,76.5,73.21,74.26,3403,34,HOV Services Limited
24-January-2024,72.4,76.45,72.4,76.44,219,5,HOV Services Limited
23-January-2024,74.05,75.0,73.3,73.3,1424,16,HOV Services Limited
20-January-2024,77.85,77.85,74.8,76.0,228,4,HOV Services Limited
19-January-2024,79.25,79.25,75.25,75.3,380,6,HOV Services Limited
