Date,Open,High,Low,Close,Volume
2024-04-04,96.29,96.39,93.0,96.12,38018
2024-04-03,90.05,91.8,89.05,91.8,51879
2024-04-02,85.05,87.43,80.0,87.43,24600
2024-04-01,79.42,83.39,79.42,83.27,7008
2024-03-28,82.0,82.0,77.69,79.42,11132
2024-03-27,82.2,84.32,78.49,78.62,23259
2024-03-26,85.99,85.99,81.38,82.62,16052
2024-03-22,86.01,89.49,85.49,85.66,28407
2024-03-21,89.98,89.98,89.0,89.98,35717
2024-03-20,85.7,85.7,85.7,85.7,11708
2024-03-19,81.6,81.62,81.25,81.62,12573
2024-03-18,72.7,77.74,72.7,77.74,12375
2024-03-15,74.04,74.04,74.04,74.04,5920
2024-03-14,75.55,75.55,75.55,75.55,3384
2024-03-13,77.09,77.09,77.09,77.09,1356
2024-03-12,78.67,78.67,78.66,78.66,3015
2024-03-11,80.26,80.26,80.26,80.26,2972
2024-03-07,81.89,81.89,81.89,81.89,15945
2024-03-06,83.56,83.56,83.56,83.56,2592
2024-03-05,85.26,85.26,85.26,85.26,2488
2024-03-04,86.24,88.0,86.24,87.0,4122
2024-03-01,88.5,88.5,87.02,87.02,2810
2024-02-29,88.79,88.79,88.79,88.79,5238
2024-02-28,87.13,90.67,87.13,90.6,10243
2024-02-27,90.0,90.0,88.3,88.9,8155
2024-02-26,90.59,90.59,90.0,90.0,24346
2024-02-23,88.82,88.82,88.82,88.82,10402
2024-02-22,87.08,87.08,87.08,87.08,10084
2024-02-21,88.0,88.0,85.38,85.38,3484
2024-02-20,87.2,87.25,87.11,87.12,6580
2024-02-19,88.9,88.9,88.88,88.88,4181
2024-02-16,87.15,90.69,87.15,90.69,34166
2024-02-15,92.5,92.5,88.92,88.92,15789
2024-02-14,87.22,90.73,87.22,90.73,16480
2024-02-13,80.55,89.01,80.55,88.99,24056
2024-02-12,90.0,91.99,83.23,84.78,68556
2024-02-09,87.61,87.61,87.0,87.61,59924
2024-02-08,83.44,83.44,83.0,83.44,36905
