Date,Open,High,Low,Close,Volume
2022-10-14,47.75,47.75,47.75,47.75,2000
2022-10-13,44.35,45.9,44.35,45.85,10000
2022-10-12,49.45,49.45,49.25,49.25,8000
2022-10-04,54.7,54.7,54.7,54.7,0
2022-10-03,47.25,52.1,47.2,52.1,8000
2022-09-30,49.65,49.65,49.65,49.65,4000
2022-09-27,52.3,52.3,52.25,52.25,6000
2022-09-26,55.0,55.0,55.0,55.0,2000
2022-09-22,54.8,54.85,54.8,54.85,4000
2022-09-21,52.5,53.45,52.5,53.45,6000
2022-09-19,58.0,58.0,58.0,58.0,2000
2022-09-16,63.9,63.9,63.9,63.9,4000
2022-09-15,71.0,71.0,71.0,71.0,2000
2022-09-14,62.0,62.0,62.0,62.0,4000
2022-09-12,62.0,74.0,62.0,64.05,24000
2022-09-09,61.0,71.95,60.25,62.0,20000
2022-09-08,49.85,60.0,49.85,60.0,52000
2022-09-07,50.0,50.0,50.0,50.0,2000
2022-09-02,48.5,50.0,48.5,50.0,0
2022-09-01,48.8,49.0,47.95,48.25,12000
2022-08-30,46.0,46.0,46.0,46.0,6000
2022-08-29,48.9,48.9,48.7,48.7,6000
2022-08-26,48.9,48.9,48.9,48.9,2000
2022-08-25,48.95,48.95,48.95,48.95,2000
2022-08-23,41.0,41.0,41.0,41.0,2000
2022-08-22,44.85,44.85,44.85,44.85,2000
2022-08-16,44.9,44.9,44.9,44.9,4000
2022-08-12,44.9,44.9,44.9,44.9,4000
2022-08-11,45.85,45.85,45.85,45.85,2000
2022-08-10,45.0,45.0,45.0,45.0,2000
2022-08-08,39.0,39.0,39.0,39.0,2000
2022-08-05,39.0,39.0,39.0,39.0,2000
2022-08-04,39.0,39.0,39.0,39.0,2000
2022-08-02,38.0,39.0,35.25,39.0,8000
2022-07-27,39.0,39.0,39.0,39.0,0
2022-07-26,40.25,40.25,39.0,39.0,4000
2022-07-25,35.25,36.65,35.25,36.65,12000
2022-07-21,33.35,33.35,33.35,33.35,2000
2022-07-20,32.35,32.35,32.35,32.35,2000
2022-07-15,33.35,33.35,33.35,33.35,2000
2022-07-14,33.35,33.5,32.35,32.35,8000
2022-07-12,30.6,31.6,30.6,31.6,4000
2022-07-05,31.6,31.6,31.6,31.6,2000
2022-06-28,31.6,31.6,31.6,31.6,0
2022-06-27,28.0,31.2,27.6,31.2,14000
2022-06-24,27.55,29.9,27.55,28.55,22000
2022-06-23,32.15,32.15,30.6,30.6,10000
2022-06-20,34.0,34.0,34.0,34.0,0
2022-06-17,35.0,35.0,35.0,35.0,6000
2022-06-13,36.55,36.55,35.1,36.2,6000
2022-06-10,39.0,39.0,39.0,39.0,2000
2022-06-06,38.85,38.85,38.85,38.85,0
2022-06-02,40.35,40.35,40.35,40.35,2000
2022-06-01,39.0,39.0,39.0,39.0,2000
2022-05-31,39.9,39.9,39.9,39.9,2000
2022-05-26,42.0,42.0,42.0,42.0,0
2022-05-25,44.2,44.2,44.2,44.2,2000
2022-05-23,46.45,46.55,46.45,46.5,14000
2022-05-20,43.75,44.35,43.75,44.35,4000
2022-05-19,41.65,42.25,41.65,42.25,8000
2022-05-17,40.25,40.25,40.25,40.25,2000
2022-05-16,38.35,38.35,38.35,38.35,2000
2022-05-12,37.05,37.05,37.05,37.05,6000
2022-05-09,38.95,38.95,38.95,38.95,2000
2022-05-06,40.95,40.95,40.95,40.95,4000
2022-05-05,39.65,43.1,39.65,43.1,6000
2022-05-02,42.7,42.7,41.7,41.7,4000
2022-04-29,41.3,41.3,41.3,41.3,2000
2022-04-27,43.45,43.45,43.45,43.45,6000
2022-04-26,45.7,45.7,45.7,45.7,6000
2022-04-25,48.4,49.3,45.55,48.1,12000
2022-04-22,47.5,47.9,47.5,47.9,4000
2022-04-21,49.3,49.3,48.3,49.3,8000
2022-04-20,48.3,48.3,48.3,48.3,6000
2022-04-19,47.7,47.75,43.25,46.0,50000
2022-04-18,45.0,45.5,45.0,45.5,22000
2022-04-13,43.35,43.35,43.35,43.35,24000
2022-04-12,41.0,41.3,41.0,41.3,6000
2022-04-11,36.55,39.35,36.35,39.35,26000
2022-04-08,31.95,35.8,31.95,35.8,4000
2022-04-07,30.15,32.6,30.15,32.6,6000
2022-04-06,30.75,30.75,30.75,30.75,8000
2022-04-05,29.8,32.35,29.8,32.35,14000
2022-04-04,31.35,31.35,31.35,31.35,2000
2022-03-28,33.0,33.0,33.0,33.0,2000
2022-03-23,33.25,33.25,33.25,33.25,6000
2022-03-22,35.0,35.0,35.0,35.0,2000
2022-03-21,30.25,33.35,30.25,33.35,8000
2022-03-17,31.8,31.8,31.8,31.8,2000
2022-03-16,33.45,33.45,33.45,33.45,2000
2022-03-15,32.95,32.95,32.95,32.95,2000
2022-03-14,32.35,32.35,32.35,32.35,2000
2022-03-11,30.85,30.85,30.85,30.85,2000
2022-03-10,29.7,29.7,27.05,29.4,10000
2022-03-09,26.5,28.45,26.5,28.45,16000
2022-03-08,27.85,27.85,27.85,27.85,2000
2022-03-07,25.85,27.25,25.85,27.25,4000
2022-02-25,26.55,26.55,26.55,26.55,8000
2022-02-22,27.9,27.9,27.9,27.9,6000
2022-02-18,30.0,30.0,29.35,29.35,16000
2022-02-16,30.45,30.85,30.45,30.85,4000
2022-02-15,29.4,29.4,29.4,29.4,2000
2022-02-14,30.2,30.2,30.0,30.0,6000
2022-02-11,33.3,33.3,33.3,33.3,8000
2022-02-04,37.0,37.0,37.0,37.0,2000
2022-02-02,38.55,38.55,38.55,38.55,2000
2022-01-25,37.4,37.4,37.4,37.4,6000
2022-01-24,39.35,39.35,39.35,39.35,4000
