BSE_securities_name
Harshdeep
Ashoka Buildcon
SKM Egg Prod.
Arrow Greentech
Shekhawati Poly.
Party Cruisers
Brady & Morris
Innovana Think.
Nitta Gelatin
Magson Retail
Aditya AMC
Moongipa Capital
RMC Switchgears
IIFL Securities
Bharat Electron
R K Swamy
Pee Cee Cosma
MSTC
RPG LifeScience.
Shri Balaji
Geekay Wires
Hindusthan Udyog
TAAL Enterprises
HBL Power System
Khazanchi Jewell
Sh. Rajas. Synt.
ICE Make Refrig.
Kriti Nutrients
Tanfac Inds.
Shree Pacetronix
BEW Engg
Sh. Digvijay Cem
Dynavision
Systango Tech
Bayer Crop Sci.
DMR Hydroengg.
Shivalik Bimetal
Sobhagya Mercant
Stylam Industrie
Timex Group
Silicon Rental
Globe Commercial
Bajaj Auto
Canarys
Shanthi Gears
Arrowhead Sepera
L&T Technology
Vibrant Glo. Cap
NIIT Learning
Vistar Amar
Pecos Hotels
Neuland Labs.
Vivid Mercantile
Bombay Metrics
Nirman Agri
Kaka Industries
S J Logistics (I
3M India
Silkflex
Kamdhenu
Master Trust
Infinium Pharma
NBCC
Steel Strips Inf
Prakash Pipes
Emami
Likhitha Infra.
Solar Industries
VST Industries
Kachchh Minerals
Kontor Space
Nagreeka Cap.
Amkay Products
eClerx Services
Tinna Rubber
Adani Power
Ecoplast
B P C L
Gopal Snacks
Nucleus Soft.
NMDC
Premier Road
Fluidomat
Redtape
Thomas Scott
Foseco India
Keynote Finan.
Vedant Fashions
Dhyaani Trade
Madhusudan Masa
Jupiter Wagons
Ajanta Pharma
Volt.Transform.
Sterling Powerg.
Styrenix Perfor.
Shakti Pumps
Response Info.
Polycab India
A B Infrabuild
TBI Corn
Elecon Engg.Co
Mold-Tek Technol
Shreyans Inds.
I T D C
Vishwas Agri
Sharda Ispat
Safari Inds.
Cigniti Tech.
LTIMindtree
Rudra Gas
Kewal Kir.Cloth.
Astrazeneca Phar
Eicher Motors
U P Hotels
Shri Techtex
Raymond
Brightcom Group
Vikram Thermo
Jasch Gauging
A B B
Doms Industries
Maxposure
BLS Internat.
Premier Polyfilm
Allsec Tech.
Sunrise Efficie.
Black Box
Jamna Auto Inds.
SKP Securities
GPT Healthcare
EMS
DRC Systems
KFin Technolog.
Macpower CNC
Indo Tech.Trans.
Foce India
Kingfa Science
Natco Pharma
Blue Jet Health
Cyber Media Res.
Balu Forge
JMJ Fintech
HCL Technologies
Sanrhea Tech.
Hero Motocorp
Birlasoft Ltd
Pidilite Inds.
Aurangabad Dist.
Godawari Power
Bikaji Foods
Piccadily Agro
Clean Science
Saptarishi Agro
U. Y. Fincorp
Upsurge Invest.
D-Link India
Bihar Sponge
Kundan Edifice
Anuh Pharma
Indraprastha Gas
Praj Industries
ISL Consulting
West Coast Paper
SKF India
Knowledge Marine
Annapurna Swadi.
Persistent Sys
Chatha Foods
Fine Organic
Indegene
Inspirisys Sol.
Shardul Sec.
Mish Designs
Chandni Machines
Suraj Estate
Man Infra
Varun Beverages
Master Component
Dixon Technolog.
SBC Exports
Thejo Engg.
RBM Infracon
Kay Cee
Lloyds Engineeri
Saumya Cons
Supreme Inds.
DC Infotech
Rex Sealing
B N Rathi Sec.
Swastika Investm
Arihant Capital
Venus Pipes
Garden Reach Sh.
Pudumjee Paper
Loyal Equipments
Bombay Burmah
Seacoast Ship.
Coforge
Tata Technolog.
Shriram Pistons
Ganesha Ecoverse
Morganite Crucib
Indo Thai Sec.
Kaushalya
Glenmark Life
Rolex Rings
A K Spintex
SRM Contractors
Prime Fresh
Naapbooks
High Energy Bat.
Sagar Diamonds
United Spirits
Concord Biotech
Ratnamani Metals
Shreeji Translog
Albert David
Service Care Ltd
Saksoft
Atmastco Ltd
Nirlon
M K Exim India
Rajgor Castor
Elantas Beck
Shri Gang Indus
Berger Paints
Galaxy Bearings
Dharni Capital
Shree Ganesh Rem
Gravita India
Hindustan Hardy
Ovobel Foods
ITD Cem
Timescan Logist.
Pentagon Rubber
Kirl. Brothers
Global Pet Indus
Platinum Industr
Hind. Unilever
KEI Industries
Vadilal Inds.
ION Exchange
Dolat Algotech
Dhanuka Agritech
Wallfort Fin.
Sunita Tools Ltd
Jyothy Labs
Magellanic Cloud
Arvind & Company
Gabriel India
Suvidha Infra.
D.P. Abhushan
Automotive Axles
Binny
IRIS Business
Schaeffler India
Fiem Industries
Interglobe Aviat
TCI Express
Arham Tech
Saakshi Medtech
Newgen Software
Peninsula Land
Markolines Pavem
Banco Products
Presstonic
Caplin Point Lab
Dr Reddy's Labs
Prevest Denpro
Creative Newtech
Rolcon Engg. Co.
Aeroflex
Intl. Combustion
Petronet LNG
Refex Industries
IM+ Capitals
Bervin Invest.
Krishna Defence
Sun TV Network
Kapil Cotex
Alufluoride
Karnika Industri
Jenburkt Pharma
CMS Info Systems
Narayana Hrudaya
Cochin Minerals
Mankind Pharma
Kisaan Parivar
Vesuvius India
Grauer & Weil
R Systems Intl.
Tube Investments
Coromandel Inter
Titan Biotech
Euphoria Infotec
Shivalic
Suraj Products
Ind-Swift
Disa India
Vinyas Innovativ
Sungarner Energ.
Keltech Energies
Sika Interplant
Aryaman Fin.Serv
Archean Chemical
Vinyl Chemicals
Updater Services
Zensar Tech.
Adinath Textiles
Parker Agrochem
D B Corp
KNR Construct.
Unihealth Consul
Intl. Conveyors
Prec. Wires (I)
Blue Star
Mrs Bectors
Octal Credit Cap
APL Apollo Tubes
Le Lavoir
Josts Engg. Co.
Sonal Adhesives
Andhra Paper
EIH Assoc.Hotels
Daulat Securitie
Vasundhara Rasy.
M R P L
W S Inds.
Stellant Secu.
Dr Lal Pathlabs
Micropro Softwar
Rishiroop
J B Chemicals &
Jash Engineering
Brand Concepts
E2E Networks
Captain Pipes
Par Drugs & Che.
AGI Infra
BASF India
Qgo Finance
Maan Aluminium
W H Brady
Titagarh Rail
Panama Petrochem
Lak. Fin. & Indl
TD Power Systems
Gayatri Rubbers
Siddhika Coatins
Choice Intl.
Rites
Modern Threads
Suzlon Energy
Exicom Tele-Sys.
Vishnu Prakash R
JTL Industries
Wendt India
Kaveri Seed Co.
India Gelatine
Cera Sanitary.
Nitin Castings
Grindwell Norton
Radhika Jeweltec
D P Wires
KPT Industries
Bhansali Engg.
Roto Pumps
Havells India
Ador Fontech
Kaycee Inds.
Pasari Spinning
TCC Concept
Integra Engg.
Raaj Medisafe
Bharat Dynamics
ASK Automotive
Ador Welding
Prabhhans Inds
Dynamic Cables
Atam Valves
H.G. Infra Engg.
Tembo Global
D.K. Enterprises
Rajoo Engineers
Sirca Paints
Signoria Creatio
BIGBLOC Const.
P.E. Analytics
Anlon Tech
Mphasis
Priti Internati.
Indiamart Inter.
Linc
Ahluwalia Contr.
Manoj Ceramic
The Anup Enginee
Power Mech Proj.
Bombay Super Hyb
All E Tech
Pricol Ltd
Sanghvi Movers
POCL Enterprises
SML ISUZU
P I Industries
Edvenswa Enter
ITCONS E-Soluti.
La Tim Metal & I
Trent
Force Motors
Srivasavi Adhes.
Contil India
Sona BLW Precis.
Indian Metals
Jubilant Inds.
Kalahridhaan
Seven Hill Inds.
Astral
Italian
Maruti Suzuki
Tide Water Oil
Bajaj Steel Inds
Inspire
Mercury Trade Li
EIH
Control Print
Yatharth Hospit.
Medi Assist Ser.
G M Breweries
Suraj
Goa Carbon
Dhatre Udyog
Sri Ramakr. Mill
Poly Medicure
Timken India
Satia Industries
NELCO
Gokul Agro
Kaushalya Infra.
Univastu India
Amines & Plast.
KSB
M E T S
Polychem
Indigo Paints
Star Delta Trans
Raghav Product.
Artson Engg.
Bajaj Consumer
Torrent Pharma.
SM Auto Stamping
Auro Impex
CHL
Radiant Cash
Valor Estate
Cipla
Garware Tech.
Shahi Shipping
Aik Pipes & Poly
Golech.Glob.Fin.
Menon Bearings
Udayshivakumar
Mah. Seamless
Modi's Navnirman
Kabsons Industri
Sita Enterprises
Dev Information
Intl. Travel Hse
Osia Hyper Reta.
DE Nora India
Maagh Advertisin
RR Metalmakers
AIA Engineering
L G Balakrishnan
Vilas Transcore
Lorenzini Appar.
Punjab Chemicals
Titan Company
Happy Forgings
Menon Pistons
Guj. Containers
DSJ Keep Learn
Guj Pipavav Port
Synergy Green
Pix Transmission
Flair Writing
Godfrey Phillips
One Point One
UTI AMC
Krishival Foods
Bhagwati Auto
Engineers India
Lesha Industries
Lincoln Pharma.
ICICI Lombard
Zodiac Energy
Integra Capital
Cenlub Industrie
Supreme Petroch.
Fidel Softech
Zydus Lifesci.
NESCO
Vruddhi Engineer
Cupid
Jay Jalaram Tech
Sheetal Univer.
Mahasagar Travel
Aurionpro Sol.
Deepak Nitrite
Veefin Solutions
Dabur India
Elgi Equipments
Tilaknagar Inds.
Kovai Medical
Jindal Stain.
Goyal Associates
Ascensive Educa.
DB Intl.Stock
Narmada Gelatine
Sreechem Resins
Sunshield Chem.
Jupiter Life Lin
GE T&D India
NCC
Hind Aluminium
Algoquant Fin
Usha Martin
Dodla Dairy
Arabian Petrol.
Auto Pins (I)
Goodyear India
Datamatics Glob.
Smart Finsec
SJS Enterprises
Arman Financial
Pfizer
Cyient
Jayant Infratech
Amiable Logistic
Saraswati Commer
Ceinsys Tech
Nova Agritech
JSL Industries
Synoptics Techno
Supriya Lifesci.
C P S Shapers
Kirl.Pneumatic
20 Microns
Gandhar Oil Ref.
ADF Foods
Onward Technolog
Prospect Commod.
Amba Enterprises
GPT Infraproject
IKIO Lighting
KPI Green Energy
Suyog Telematics
Hind.Construct.
Shanti Spintex
Welspun Corp
Happiest Minds
Talbros Auto.
Vijaya Diagnost.
Azad Engineering
HRH Next
KMC Speciality
Kajaria Ceramics
Cochin Shipyard
Prima Agro
Bisil Plast
Pearl Global Ind
Aditya Vision
ICRA
Jindal Saw
City Online Ser.
Pakka
Laxmi Goldorna
Amrutanjan Healt
Shish Industries
Cargotrans Marit
JK Paper
Medico Remedies
H P C L
MCON Rasayan
Guj.St.Petronet
Nitiraj Engineer
Solex Energy
Rajnandini Metal
Jyoti CNC Auto.
I O C L
Mazda
RPP Infra Proj.
Adani Total Gas
SecUR Credential
Avanti Feeds
Atlantaa
L T Foods
Sh. Jagdamba Pol
Kahan Packaging
Filtra Consult.
Ramky Infra
Chambal Fert.
Suven Pharma
Black Rose Indus
Meghna Infracon
Surya Roshni
Banas Finance
Ace Soft. Exp.
Mahalaxmi Seam.
3B Blackbio
Pyramid Technopl
Bhagyanagar Ind
CG-VAK Software
ARCL Organics
Swaraj Suiting
Ameya Precision
Vedanta
ZF Commercial
Sandesh
Matrimony.com
Constronics
Sumitomo Chemi.
BFL Asset Finves
Dynamic Services
Motil.Oswal.Fin.
Siemens
Hind.Adhesive
Balaxi Pharma
Rithwik Facility
Agarwal Indl.
GHCL
Bengal & Assam
K P R Mill Ltd
Bosch
BDH Industries
Wonderla Holiday
Marksans Pharma
Route Mobile
CARE Ratings
Sikko Industries
Quality RO Indu.
MKVentures Cap.
Va Tech Wabag
Frontier Springs
Rane Brake Lin.
Vantage Knowledg
Siyaram Silk
EID Parry
Shree Tirupati
Expleo Solutions
WPIL
Yug Decor
Jay Kailash
Mac Hotels
Auro Labs.
B & A Packaging
Shervani Indl Sy
Saint-Gob. Sekur
Rajputana Invest
Krystal Integrat
Chamanlal Setia
Intellect Design
Magna Electrocas
Railtel Corpn.
Thangamayil Jew.
Relicab Cable
Divine Power
Seshasayee Paper
Qualitek Labs
Amara Raja Ener.
Titan Intech
Captain Techno.
NIBE
Indus Towers
Gujarat Gas
Skipper
Carborundum Uni.
Konstelec Engg.
LKP Securities
Welspun Special.
Tata Motors
Shri Venkatesh
Shera Energy
TCPL Packaging
CEAT
Pradeep Metals
Ram Info
Digicontent
Sangani Hospital
Silver Touch
ABS Marine
Craftsman Auto
Uno Minda
BSE
Scan Projects
Pramara Promotio
R R Kabel
Pitti Engg.
Transport Corp.
Hind.Natl.Glass
Savita Oil Tech
Aaron Industries
Iris Clothings
Goldiam Intl.
East West Holdin
Ind-Swift Labs.
Royal Orch.Hotel
Giriraj Civil
ICICI Securities
Data Pattern
Unjha Formul.
Honeywell Auto
Goldstar Power
Sheetal Cool
Metro Brands
Suyog Gurbaxani
Alkem Lab
Avenue Super.
Shree Vasu Logis
Caspian Corporat
S & S Power Swit
Committed Cargo
NILE
Golkonda Alumin.
Redington
R&B Denims
Som Distilleries
Saregama India
FDC
NDR Auto Compon.
Fairchem Organic
Godrej Consumer
Global Health
JK Tyre & Indust
Bemco Hydraulics
Marco Cables
TPL Plastech
Credo Brands
Benchmark Comp.
Agarwal Fortune
Blue Dart Expres
La Opala RG
Kriti Industries
Ashima
Sinclairs Hotels
Tega Inds.
Vishnu Chemicals
Deem Roll
Atishay
Himadri Special
Valiant Commun.
PSP Projects
GMM Pfaudler
MANGALAM SEEDS
Rainbow Child.
Dolfin Rubbers
Omfurn India
Indo Borax & Ch.
Thomas Cook (I)
Euro Panel
Kalyan Capitals
Symphony
Finolex Cables
Aris Interna.
Navigant Corp.
DJ Mediaprint
Spectrum Electr.
Goel Food
Mayur Uniquoters
Mukka Proteins
Virtuoso Optoel.
SNL Bearings
Captain Polyplas
Dhabriya Poly.
Resgen
TVS Motor Co.
Focus Business
NGL Fine Chem
Welcast Steels
EFC (I)
Geojit Fin. Ser.
M K Proteins
Haria Apparels
Tirupati Forge
Technocraf.Inds.
Astra Microwave
Rail Vikas
Sky Gold
Auto.Corp.of Goa
PG Electroplast
Ramkrishna Forg.
TajGVK Hotels
Kuantum Papers
Nettlinx
Sula Vineyards
Ramdevbaba Sol.
Thyrocare Tech.
Emcure Pharma
Vinati Organics
Swashthik
Hind.Oil Explor.
Ircon Intl.
Refractory
RDB Rasayans
Sundram Fasten.
GE Shipping Co
Pune e
Sofcom Systems
Orbit Exports
Duncan Engg.
Welspun Enterp
Innova Captab
J Kumar Infra
O N G C
Virat Crane Inds
Baheti Recycling
Source Natural
Aptech
Crown Lifters
7Seas Enter.
Delton Cables
Pokarna
Sabar Flex India
Chaman Metallics
CIE Automotive
Saven Tech.
Kokuyo Camlin
Kirl. Electric
Maximus Interna.
