Security Code,Company Name
500370,Salora International Limited
500378,Jindal Saw Ltd.
500380,JK Lakshmi Cement Limited
500387,Shree Cements Ltd.
500388,Shree Krishna Paper Mills & Industr
500390,Reliance Infrastructure Ltd
500400,Tata Power Co. Ltd
500402,SPML Infra Limited
500403,Sundram Fasteners Ltd.
500404,Sunflag Iron & Steel Co. Ltd.
500405,Supreme Petrochem Ltd.
500407,Swaraj Engines Ltd.
500408,Tata Elxsi Ltd
500410,ACC Ltd
500411,Thermax Ltd.
500412,Thirumalai Chemicals Ltd.
500413,Thomas Cook (India) Ltd.
500414,Timex Group India Ltd
500418,Tokyo Plast International Ltd.
500420,Torrent Pharmaceuticals Ltd.
500421,TPI India Ltd.
500422,Transchem Limited.
500425,Ambuja Cements Ltd.
500426,UTL Industries Limited
500429,Uniphos Enterprises Limited.
500439,Vardhman Holdings Limited
500440,Hindalco Industries Ltd.
500444,West Coast Paper Mills Limited
500449,Hindustan Organic Chemicals Ltd.
500450,MPIL CORPORATION LIMITED
500456,Pasupati Acrylon Ltd.
500458,Kore Foods Limited
500459,Procter & Gamble Hygiene & Health Care Ltd.
500460,Mukand Ltd.
500463,BLACK BOX LIMITED
500464,UCAL LIMITED
500467,Harrisons Malayalam Ltd.
500469,Federal Bank Ltd.
500470,TATA STEEL LIMITED
500472,SKF India Ltd.
500477,Ashok Leyland Ltd.
500480,Cummins India Ltd.
500483,Tata Communications Limited
500488,Abbott India Ltd.
500490,Bajaj Holdings & Investment Limited
500493,Bharat Forge Ltd
500495,Escorts Kubota Limited
500500,Hindustan Motors Ltd.
500510,Larsen & Toubro Limited
500520,Mahindra & Mahindra Ltd.
500530,Bosch Ltd
500540,Premier Limited
500547,Bharat Petroleum Corpn. Ltd.
500550,Siemens Ltd.
500570,Tata Motors Ltd.
500575,Voltas Ltd.
500620,Great Eastern Shipping Co. Ltd.
500645,Deepak Fertilizers &Petrochemicals
500650,Excell Industries Ltd.
500655,GARWARE HI-TECH FILMS LIMITED
500660,GlaxoSmithkline Pharmaceuticals Ltd.
500670,Gujarat Narmada Valley Fert.Co.Ltd
500672,Novartis India Limited.
500674,Sanofi India Ltd
500680,Pfizer Ltd.
500690,Gujarat State Fertilizers & Chem.Ltd
500696,Hindustan Unilever Ltd.
500710,Akzo Nobel India Limited
500730,NOCIL Ltd
500770,Tata Chemicals Ltd
500777,Tamilnadu Petroproducts Ltd
500780,Zuari Industries Limited
500790,Nestle India Ltd.
500800,TATA CONSUMER PRODUCTS LIMITED
500820,Asian Paints Ltd.
500825,Britannia Industries Ltd.
500830,Colgate-Palmolive (India) Ltd.
500840,EIH Ltd
500850,Indian Hotels Co. Ltd
500870,Castrol India Ltd
500875,ITC Ltd
500877,Apollo Tyres Ltd
500878,Ceat Ltd.
500890,Modi Rubber Ltd.
500940,Finolex Industries Ltd.
501110,Sunrise Industrial Traders Ltd.
501111,Gold Rock Investments Ltd.
501144,Peoples Investments Ltd.
501148,Dalal Street Investments Ltd.
501150,Centrum Capital Limited
501242,TCI Finance Limited
501261,Kratos Energy & Infrastructure Limited
501270,ANTARIKSH INDUSTRIES LIMITED
501295,Industrial Investment Trust Ltd.
501298,Industrial & Prudential Inv. Co. Lt
501301,Tata Investment Corporation Ltd.
501311,Jayabharat Credit Ltd.
501314,PRISMX GLOBAL VENTURES LIMITED
501343,Motor & General Finance (M.G.F.) Lt
501351,Rapid Investments Ltd.
501370,Walchand Peoplefirst Limited
501386,Swastik Safe Deposit & Invest. Ltd.
501391,W.H. Brady & Co. Ltd.
501421,TechNVision Ventures Limited
501423,Shaily Engineering Plastics Ltd.
501425,Bombay Burmah Trading Corpn. Ltd.
501430,Bombay Cycle & Motor Agency Ltd.
501455,Greaves Cotton Ltd.
501477,Muller & Phipps (India) Ltd.
501479,SPRINGFORM TECHNOLOGY LIMITED
501622,Amalgamated Electricity Co. Ltd.
501630,Anand Projects Ltd
501700,India Nivesh Limited
501831,Coastal Corporation Limited
501833,Chowgule Steamships Ltd.
501848,Global Offshore Services Ltd
502015,ASI INDUSTRIES LIMITED
502090,Sagar Cements Ltd
