Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,7.81,7.81,7.78,7.78,7.805047600898161420,120691,83,941999.00,120691,100.00,0.03,-0.03
27-June-2024,7.80,7.80,7.65,7.66,7.693783931418124254,179406,100,1380311.00,179406,100.00,0.15,-0.14
26-June-2024,7.79,8.00,7.79,7.80,7.900422842804702383,150647,125,1190175.00,150647,100.00,0.21,0.01
25-June-2024,7.99,7.99,7.94,7.94,7.954397499113732314,93087,103,740451.00,93087,100.00,0.05,-0.05
24-June-2024,8.16,8.16,8.00,8.10,8.139573797923126138,162552,76,1323104.00,162552,100.00,0.16,-0.06
21-June-2024,8.29,8.29,8.00,8.00,8.240375399459420836,405861,153,3344447.00,405861,100.00,0.29,-0.29
20-June-2024,8.13,8.13,8.13,8.13,8.129999963843703561,553154,113,4497142.00,553154,100.00,0.00,0.00
19-June-2024,7.98,7.98,7.98,7.98,7.979997410668047643,293512,97,2342225.00,293512,100.00,0.00,0.00
18-June-2024,7.83,7.83,7.83,7.83,7.829993209816665049,103090,97,807194.00,103090,100.00,0.00,0.00
14-June-2024,7.68,7.68,7.68,7.68,7.679995801847187237,47640,74,365875.00,47640,100.00,0.00,0.00
13-June-2024,7.53,7.53,7.53,7.53,7.529996326585851555,51723,72,389474.00,51723,100.00,0.00,0.00
12-June-2024,7.30,7.39,7.30,7.39,7.347799404625601099,109175,94,802196.00,109175,100.00,0.09,0.09
11-June-2024,7.25,7.25,7.25,7.25,7.250000000000000000,150788,113,1093213.00,150788,100.00,0.00,0.00
10-June-2024,7.26,7.40,7.26,7.26,7.275303240034723036,170492,84,1240381.00,170492,100.00,0.14,0.00
7-June-2024,7.40,7.40,7.40,7.40,7.399998811419877813,168268,66,1245183.00,168268,100.00,0.00,0.00
6-June-2024,7.26,7.26,7.26,7.26,7.259993073008712023,112603,41,817497.00,112603,100.00,0.00,0.00
5-June-2024,7.12,7.12,7.12,7.12,7.119998959986727449,807682,78,5750695.00,807682,100.00,0.00,0.00
4-June-2024,7.91,7.91,7.17,7.26,7.814984206754929330,3847531,945,30068394.00,3847531,100.00,0.74,-0.65
3-June-2024,7.54,7.54,7.54,7.54,7.539999466261546162,1536333,216,11583950.00,1536333,100.00,0.00,0.00
31-May-2024,7.19,7.19,7.19,7.19,7.189999446489358757,289064,121,2078370.00,289064,100.00,0.00,0.00
30-May-2024,6.85,6.85,6.85,6.85,6.849984226343666461,60227,43,412554.00,60227,100.00,0.00,0.00
29-May-2024,6.53,6.53,6.53,6.53,6.529987713826670447,52905,30,345469.00,52905,100.00,0.00,0.00
