Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,3.96,4.05,3.96,3.97,3.984662936734614030,127795,359,509220.00,90709,70.98,0.09,0.01
27-June-2024,4.10,4.10,3.65,3.97,3.940944009454867779,189532,320,746935.00,147633,77.89,0.45,-0.13
26-June-2024,3.95,4.06,3.91,3.98,4.018113568801330175,238164,491,956970.00,169919,71.35,0.15,0.03
25-June-2024,4.07,4.08,3.98,4.02,4.033808628521038883,120206,358,484888.00,81928,68.16,0.10,-0.05
24-June-2024,4.10,4.10,3.95,4.00,4.028796511915968884,201830,551,813132.00,147825,73.24,0.15,-0.10
21-June-2024,4.18,4.18,4.01,4.05,4.088651845819615700,373303,717,1526306.00,279800,74.95,0.17,-0.13
20-June-2024,4.11,4.24,4.10,4.14,4.179535255217041093,147737,877,617472.00,106072,71.80,0.14,0.03
19-June-2024,4.11,4.45,3.95,4.11,4.160903931195375883,545661,1210,2270443.00,405864,74.38,0.50,0.00
18-June-2024,4.18,4.29,4.10,4.14,4.163725946645452912,272779,505,1135777.00,204028,74.80,0.19,-0.04
14-June-2024,4.16,4.20,4.09,4.16,4.151931558456989886,286142,802,1188042.00,208256,72.78,0.11,0.00
13-June-2024,4.20,4.30,4.10,4.16,4.173807427021212461,169193,768,706179.00,102006,60.29,0.20,-0.04
12-June-2024,4.15,4.25,4.11,4.17,4.163040445006697425,215008,885,895087.00,160577,74.68,0.14,0.02
11-June-2024,4.01,4.29,4.00,4.16,4.105218483195030173,484202,1022,1987755.00,327557,67.65,0.29,0.15
10-June-2024,4.13,4.17,3.95,4.13,4.044069879083729091,271841,765,1099344.00,172605,63.49,0.22,0.00
7-June-2024,4.10,4.15,4.04,4.08,4.082685676813402999,236365,473,965004.00,162379,68.70,0.11,-0.02
6-June-2024,4.14,4.19,4.01,4.07,4.075778923862186303,300928,574,1226516.00,206284,68.55,0.18,-0.07
5-June-2024,3.90,4.15,3.65,4.06,3.951156256154356105,360517,601,1424459.00,198425,55.04,0.50,0.16
4-June-2024,4.45,4.45,3.97,3.97,4.026306949415332272,1533093,1206,6172703.00,815057,53.16,0.48,-0.48
3-June-2024,4.55,4.61,4.29,4.41,4.464600568614972948,920834,1260,4111156.00,665341,72.25,0.32,-0.14
31-May-2024,4.45,4.58,4.40,4.43,4.459175009642838948,824446,929,3676349.00,542833,65.84,0.18,-0.02
30-May-2024,4.24,4.50,4.09,4.37,4.347152273590305998,882195,1020,3835036.00,588859,66.75,0.41,0.13
29-May-2024,4.30,4.30,4.10,4.20,4.209038080706424698,338833,604,1426161.00,245162,72.35,0.20,-0.10
28-May-2024,4.16,4.44,4.01,4.31,4.262809217770565195,883641,883,3766793.00,539768,61.08,0.43,0.15
27-May-2024,3.88,4.19,3.71,4.14,4.005276060214356825,1629246,1081,6525580.00,1005936,61.74,0.48,0.26
