Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,98.51,99.30,96.51,97.58,97.637459345704993303,5227,195,510351.00,3372,64.51,2.79,-0.93
27-June-2024,100.90,101.30,97.42,98.26,99.198402690205968894,2379,111,235993.00,1811,76.12,3.88,-2.64
26-June-2024,101.00,103.97,100.18,100.40,101.633648790746582544,4755,213,483268.00,2971,62.48,3.79,-0.60
25-June-2024,101.60,104.65,99.60,100.10,101.416398092045894031,15514,500,1573374.00,11998,77.34,5.05,-1.50
24-June-2024,105.11,105.91,103.48,103.77,104.598707592891760904,6190,253,647466.00,4300,69.47,2.43,-1.34
21-June-2024,107.85,107.85,104.40,105.17,106.161098047793514518,18287,525,1941368.00,14943,81.71,3.45,-2.68
20-June-2024,106.42,106.95,104.90,105.56,105.660833041652082604,2857,169,301873.00,2326,81.41,2.05,-0.86
19-June-2024,103.41,107.50,102.66,104.33,105.201747761355054482,18538,523,1950230.00,15873,85.62,4.84,0.92
18-June-2024,104.95,104.95,102.10,102.82,103.289349670122525918,10610,247,1095900.00,9975,94.02,2.85,-2.13
14-June-2024,104.12,104.21,101.87,102.72,103.227908563630160354,2931,115,302561.00,2468,84.20,2.34,-1.40
13-June-2024,104.50,105.00,102.65,103.60,103.734472049689440993,2576,143,267220.00,2180,84.63,2.35,-0.90
12-June-2024,104.20,105.00,103.03,103.72,103.995666827154549831,6231,222,647997.00,5528,88.72,1.97,-0.48
11-June-2024,108.00,108.00,102.34,103.50,103.462636439966414777,5955,213,616120.00,5575,93.62,5.66,-4.50
10-June-2024,98.13,109.00,97.80,102.93,105.152802051887327779,44057,1545,4632717.00,30111,68.35,11.20,4.80
7-June-2024,94.00,97.50,94.00,96.21,96.228633784373635966,11455,247,1102299.00,9772,85.31,3.50,2.21
6-June-2024,93.11,98.95,93.11,94.04,94.932385536773760214,17866,254,1696062.00,15729,88.04,5.84,0.93
5-June-2024,88.05,93.11,88.05,91.84,90.345776303055440342,7233,172,653471.00,5127,70.88,5.06,3.79
4-June-2024,96.50,96.50,87.85,90.19,91.160655486637567960,13059,435,1190467.00,9011,69.00,8.65,-6.31
3-June-2024,95.75,97.50,94.95,96.65,96.657555555555555555,4500,133,434959.00,3791,84.24,2.55,0.90
31-May-2024,94.00,95.80,92.70,93.75,94.388836329233680227,1057,70,99769.00,609,57.62,3.10,-0.25
30-May-2024,97.50,97.50,95.30,95.50,96.085009140767824497,3282,195,315351.00,2644,80.56,2.20,-2.00
29-May-2024,100.00,100.00,96.75,96.90,97.469106881405563689,3415,132,332857.00,2272,66.53,3.25,-3.10
28-May-2024,99.85,99.85,96.35,97.25,96.853658536585365853,861,24,83391.00,562,65.27,3.50,-2.60
27-May-2024,102.90,102.90,97.30,97.40,99.145956192080876158,4748,115,470745.00,2947,62.07,5.60,-5.50
24-May-2024,100.85,101.60,99.45,99.70,100.191215448693676637,2641,64,264605.00,1936,73.31,2.15,-1.15
23-May-2024,103.00,103.70,100.95,101.05,101.859968725566849100,12790,183,1302789.00,11442,89.46,2.75,-1.95
22-May-2024,101.60,104.30,101.60,102.95,103.107011554621848739,7616,282,785263.00,3752,49.26,2.70,1.35
21-May-2024,103.25,104.15,101.20,101.60,102.438096636804229695,6809,313,697501.00,4887,71.77,2.95,-1.65
18-May-2024,101.70,104.85,101.70,104.30,104.194679564691656590,827,29,86169.00,753,91.05,3.15,2.60
17-May-2024,104.45,105.10,102.40,102.90,103.711787930062041737,1773,77,183881.00,1132,63.85,2.70,-1.55
16-May-2024,104.90,104.95,103.00,103.55,104.012396694214876033,1936,77,201368.00,1155,59.66,1.95,-1.35
15-May-2024,105.90,106.15,104.60,104.90,105.219253294289897510,2732,64,287459.00,2173,79.54,1.55,-1.00
14-May-2024,104.00,107.55,102.50,106.20,105.008597959417631548,17446,445,1831980.00,12297,70.49,5.05,2.20
13-May-2024,103.05,105.35,101.50,104.15,103.094995504944560982,6674,233,688056.00,3876,58.08,3.85,1.10
10-May-2024,98.30,108.20,96.35,105.90,102.762871181371501815,14043,722,1443099.00,4936,35.15,11.85,7.60
9-May-2024,103.75,104.00,98.00,98.30,99.984806231368400807,10399,510,1039742.00,5582,53.68,6.00,-5.45
8-May-2024,102.00,104.40,100.95,101.45,102.143028485757121439,20010,641,2043882.00,10245,51.20,3.45,-0.55
7-May-2024,105.10,114.25,99.95,107.55,104.681636693614915030,30305,1093,3172377.00,10323,34.06,14.30,2.45
6-May-2024,109.00,109.00,105.00,105.30,106.075152335815842924,7385,217,783365.00,4852,65.70,4.00,-3.70
3-May-2024,109.95,110.00,108.00,108.10,108.901682905225863596,11290,377,1229500.00,6583,58.31,2.00,-1.85
2-May-2024,110.95,112.55,107.05,109.65,108.829670329670329670,12922,797,1406297.00,3463,26.80,5.50,-1.30
30-April-2024,111.35,113.25,109.50,109.85,111.347332015810276679,4048,209,450734.00,1354,33.45,3.75,-1.50
29-April-2024,110.50,112.00,109.45,110.35,110.339678682327528014,7407,233,817286.00,6146,82.98,2.55,-0.15
26-April-2024,112.35,112.35,108.00,109.05,109.589640094180961991,8919,317,977430.00,6491,72.78,4.35,-3.30
25-April-2024,112.85,113.30,109.95,110.20,111.517466478475652787,5668,194,632081.00,3391,59.83,3.35,-2.65
24-April-2024,114.60,115.10,111.35,112.95,112.806898309404468609,11771,430,1327850.00,10052,85.40,3.75,-1.65
23-April-2024,113.15,115.95,111.20,113.40,113.236595797433831277,16133,551,1826846.00,7677,47.59,4.75,0.25
22-April-2024,109.85,117.15,109.85,112.50,114.129028239202657807,24080,878,2748227.00,8306,34.49,7.30,2.65
19-April-2024,108.10,114.00,108.10,112.05,112.029973075704783021,50512,1068,5658858.00,29995,59.38,5.90,3.95
18-April-2024,104.95,117.65,104.75,113.95,110.230366849371147854,43969,1177,4846719.00,34809,79.17,12.90,9.00
16-April-2024,99.95,109.00,99.95,103.90,104.857484540893711352,17142,570,1797467.00,9631,56.18,9.05,3.95
15-April-2024,101.05,103.45,98.25,101.15,100.938280608988968912,21938,541,2214384.00,13295,60.60,5.20,0.10
12-April-2024,104.75,107.70,103.95,104.55,105.385897435897435897,14040,388,1479618.00,10719,76.35,3.75,-0.20
10-April-2024,108.10,108.55,104.45,104.80,105.906253854693474774,8107,312,858582.00,5265,64.94,4.10,-3.30
9-April-2024,106.95,108.05,105.50,105.95,106.640087463556851311,13720,543,1463102.00,11163,81.36,2.55,-1.00
8-April-2024,108.15,111.25,106.10,107.00,108.550585703455528111,40891,1013,4438742.00,21117,51.64,5.15,-1.15
5-April-2024,107.60,112.65,107.60,110.60,110.574184723921963861,13891,409,1535986.00,4589,33.04,5.05,3.00
4-April-2024,109.70,112.05,108.25,109.80,110.124638925755328284,25618,621,2821173.00,9127,35.63,3.80,0.10
3-April-2024,109.75,111.85,107.10,108.65,109.651508120649651972,6465,372,708897.00,3948,61.07,4.75,-1.10
2-April-2024,111.95,112.55,109.00,109.55,110.353133353133353133,6734,302,743118.00,2927,43.47,3.55,-2.40
1-April-2024,108.00,112.85,107.65,109.75,109.848485833116714322,30776,711,3380697.00,10899,35.41,5.20,1.75
28-March-2024,111.00,116.05,105.75,108.05,111.390810369719414977,31862,735,3549134.00,18474,57.98,10.30,-2.95
27-March-2024,124.45,128.00,111.80,112.85,121.041147467503361721,133860,2833,16202568.00,60643,45.30,16.20,-11.60
26-March-2024,92.50,110.75,92.50,110.75,108.123792570513881989,72468,865,7835515.00,64073,88.42,18.25,18.25
22-March-2024,90.00,94.20,90.00,92.30,92.405673368218121729,14524,464,1342100.00,8526,58.70,4.20,2.30
21-March-2024,89.60,91.40,89.60,90.00,90.681015059883789873,8433,163,764713.00,6007,71.23,1.80,0.40
20-March-2024,90.20,90.20,87.25,87.90,88.394976337823079723,5494,337,485642.00,4663,84.87,2.95,-2.30
