Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,64.05,65.90,63.00,63.64,63.899100822651616606,26135,138,1670003.00,20579,78.74,2.90,-0.41
27-June-2024,65.00,67.80,63.21,64.12,65.034076852479948924,25061,152,1629819.00,20475,81.70,4.59,-0.88
26-June-2024,67.79,67.79,65.55,65.74,66.270036547073660369,19427,148,1287428.00,13688,70.46,2.24,-2.05
25-June-2024,66.95,68.00,65.00,65.81,66.801932897699192795,36422,183,2433060.00,24498,67.26,3.00,-1.14
24-June-2024,66.99,69.00,66.07,66.54,67.658509403296958439,64605,318,4371078.00,53497,82.81,2.93,-0.45
21-June-2024,68.20,69.00,64.75,65.75,66.822578175247312486,97953,462,6545472.00,73465,75.00,4.25,-2.45
20-June-2024,58.50,68.99,58.50,65.57,64.647985712496952043,151741,484,9809750.00,100764,66.41,10.49,7.07
19-June-2024,61.00,61.00,58.55,59.00,59.404996481351161154,17052,117,1012974.00,9957,58.39,2.45,-2.00
18-June-2024,61.00,61.00,59.50,59.68,60.190737709246448751,18937,122,1139832.00,13796,72.85,1.50,-1.32
14-June-2024,58.65,60.25,58.60,59.35,59.532611771363893604,28272,176,1683106.00,22258,78.73,1.65,0.70
13-June-2024,59.50,60.90,58.55,59.40,59.758000268540482477,22343,120,1335173.00,20208,90.44,2.35,-0.10
12-June-2024,60.00,60.50,59.01,59.72,59.822003168456257701,28405,128,1699244.00,23165,81.55,1.49,-0.28
11-June-2024,59.20,60.00,58.44,59.08,59.352998656406498106,24561,136,1457769.00,17880,72.80,1.56,-0.12
10-June-2024,62.74,62.74,58.78,59.38,59.602481743809366935,18213,120,1085540.00,13887,76.25,3.96,-3.36
7-June-2024,59.10,60.95,58.10,58.97,59.777404700770294291,35441,190,2118571.00,30136,85.03,2.85,-0.13
6-June-2024,61.00,61.00,57.20,59.22,58.971915393654524089,17020,152,1003702.00,10273,60.36,3.80,-1.78
5-June-2024,58.50,59.85,54.90,57.08,56.819082489769545552,9286,120,527622.00,6964,74.99,4.95,-1.42
4-June-2024,61.79,61.79,52.50,58.00,56.078297710545612558,36821,211,2064859.00,29433,79.94,9.29,-3.79
3-June-2024,58.75,60.01,58.75,59.27,59.290879234846738879,34712,136,2058105.00,30269,87.20,1.26,0.52
31-May-2024,58.15,61.20,55.99,57.60,57.654471231610567665,25966,209,1497056.00,17152,66.06,5.21,-0.55
30-May-2024,59.00,60.00,58.06,58.46,59.132048966486052578,9966,92,589310.00,8557,85.86,1.94,-0.54
29-May-2024,59.00,61.00,58.40,59.77,59.789656703166617342,13516,110,808117.00,9131,67.56,2.60,0.77
28-May-2024,60.00,60.97,58.00,59.39,59.430374753451676528,17745,134,1054592.00,10996,61.97,2.97,-0.61
27-May-2024,61.89,63.59,58.50,59.13,60.256637662537186273,71599,370,4314315.00,59411,82.98,5.09,-2.76
24-May-2024,64.20,64.20,61.50,61.89,62.309484739087627174,21329,147,1328999.00,16377,76.78,2.70,-2.31
23-May-2024,63.36,67.00,62.10,62.43,63.290837110562855011,17429,130,1103096.00,12572,72.13,4.90,-0.93
22-May-2024,65.00,65.00,61.10,62.36,62.611195855518779680,34745,223,2175426.00,25802,74.26,3.90,-2.64
21-May-2024,67.45,67.45,63.50,64.16,64.690745126616870103,21956,136,1420350.00,14781,67.32,3.95,-3.29
18-May-2024,63.12,66.76,63.00,64.93,63.815183119088042687,4123,29,263110.00,3411,82.73,3.76,1.81
17-May-2024,60.10,65.75,60.10,64.90,63.919736895201969250,49562,314,3167990.00,30790,62.12,5.65,4.80
16-May-2024,63.00,64.45,62.20,62.63,63.176179460971542309,18589,123,1174382.00,13856,74.54,2.25,-0.37
15-May-2024,65.00,65.73,63.05,63.49,64.207143710428861545,33484,189,2149912.00,26702,79.75,2.68,-1.51
14-May-2024,65.85,66.80,64.57,65.73,65.468984160106231622,21086,126,1380479.00,16062,76.17,2.23,-0.12
13-May-2024,67.00,67.00,64.00,65.82,64.989574714545755419,12086,87,785464.00,8139,67.34,3.00,-1.18
10-May-2024,67.60,67.60,65.00,65.10,65.380294594404115864,14189,85,927681.00,10858,76.52,2.60,-2.50
9-May-2024,67.95,67.95,65.10,66.04,66.061278947870008577,20986,118,1386362.00,16789,80.00,2.85,-1.91
8-May-2024,66.64,68.89,65.01,66.32,66.404768259051685793,11241,109,746456.00,7278,64.75,3.88,-0.32
7-May-2024,64.32,68.95,64.32,65.98,65.864894867441556745,15314,112,1008655.00,10820,70.65,4.63,1.66
6-May-2024,68.99,68.99,65.70,65.85,66.698420849916548979,15578,146,1039028.00,14652,94.06,3.29,-3.14
3-May-2024,72.00,72.00,68.00,68.20,68.973213765795143539,17173,120,1184477.00,12727,74.11,4.00,-3.80
2-May-2024,69.88,70.58,68.00,69.67,69.563660674491160303,26924,140,1872932.00,18428,68.44,2.58,-0.21
30-April-2024,71.30,71.30,68.00,68.41,69.525509080036508985,31773,168,2209034.00,23716,74.64,3.30,-2.89
29-April-2024,70.83,71.78,69.31,69.86,70.158626277736225380,32088,198,2251250.00,21847,68.08,2.47,-0.97
26-April-2024,71.90,72.00,70.00,70.83,71.304195529996078943,38255,198,2727742.00,30855,80.66,2.00,-1.07
25-April-2024,69.65,72.00,69.20,71.68,70.666209050041723868,37149,173,2625179.00,22883,61.60,2.80,2.03
24-April-2024,72.80,72.80,71.17,71.29,72.153900512328697978,39623,187,2858954.00,28986,73.15,1.63,-1.51
23-April-2024,71.00,72.00,70.57,71.75,71.439506131753664908,60097,287,4293300.00,41159,68.49,1.43,0.75
22-April-2024,73.00,73.79,70.62,71.26,71.859955847649014184,118227,516,8495787.00,87394,73.92,3.17,-1.74
19-April-2024,60.50,72.00,60.50,70.13,68.110669962635848090,158173,636,10773269.00,119836,75.76,11.50,9.63
18-April-2024,66.45,66.45,61.75,63.11,63.787532681987064813,14534,151,927088.00,8544,58.79,4.70,-3.34
16-April-2024,63.00,65.00,63.00,63.59,63.875948833286477368,28456,169,1817654.00,20750,72.92,2.00,0.59
15-April-2024,64.10,65.89,62.85,63.57,64.172054392964742284,36843,260,2364291.00,25702,69.76,3.04,-0.53
12-April-2024,67.85,68.00,63.50,66.98,65.991636961886482040,36470,270,2406715.00,22416,61.46,4.50,-0.87
10-April-2024,67.80,68.68,66.10,66.87,67.564840772356443128,31747,162,2144981.00,23928,75.37,2.58,-0.93
9-April-2024,70.27,70.27,65.00,65.96,67.655944254835039817,35160,334,2378783.00,22929,65.21,5.27,-4.31
8-April-2024,72.00,72.00,67.40,68.89,68.971119575870979239,89784,371,6192503.00,59050,65.77,4.60,-3.11
5-April-2024,63.80,66.78,61.50,65.76,65.196711180048956641,82522,384,5380163.00,49641,60.15,5.28,1.96
4-April-2024,63.10,64.65,61.65,62.55,63.504789534183589687,18269,120,1160169.00,12797,70.05,3.00,-0.55
3-April-2024,64.32,64.32,61.60,63.10,63.265708274894810659,14260,110,902169.00,7266,50.95,2.72,-1.22
2-April-2024,63.57,65.00,60.77,63.06,63.568820482680086691,27223,171,1730534.00,19016,69.85,4.23,-0.51
1-April-2024,59.02,63.00,58.20,62.32,61.453086770981507823,17575,107,1080038.00,11691,66.52,4.80,3.30
28-March-2024,58.98,59.98,58.05,59.02,58.988951074201119335,27695,110,1633699.00,22432,81.00,1.93,0.04
27-March-2024,61.50,63.90,58.30,58.98,60.048182363527294541,41675,142,2502508.00,28377,68.09,5.60,-2.52
