Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,12.26,12.61,12.02,12.61,12.423399468193904683,39112,88,485904.00,39112,100.00,0.59,0.35
27-June-2024,12.02,12.95,11.93,12.01,12.089021122320302648,152256,390,1840626.00,152256,100.00,1.02,-0.01
26-June-2024,12.76,13.18,12.55,12.55,12.589740636218779396,104178,280,1311574.00,104178,100.00,0.63,-0.21
25-June-2024,14.08,14.26,13.15,13.21,13.633230128743352924,114336,722,1558769.00,68977,60.33,1.11,-0.87
24-June-2024,14.56,14.73,13.05,14.06,14.120135045744215552,276647,1218,3906293.00,175247,63.35,1.68,-0.50
21-June-2024,13.90,14.79,13.42,14.26,14.426423958242482745,1352954,2656,19518288.00,757119,55.96,1.37,0.36
20-June-2024,10.69,12.33,10.38,12.33,12.007169102515172604,267258,515,3209012.00,198294,74.20,1.95,1.64
19-June-2024,10.40,10.45,10.21,10.28,10.309863516185122549,41983,211,432839.00,34390,81.91,0.24,-0.12
18-June-2024,9.91,10.60,9.91,10.22,10.248150238516788953,129341,449,1325506.00,108573,83.94,0.69,0.31
14-June-2024,10.15,10.15,9.82,9.91,9.913342944097389075,6243,94,61889.00,3957,63.38,0.33,-0.24
13-June-2024,10.10,10.10,9.90,9.95,9.977659656420922887,12981,104,129520.00,8146,62.75,0.20,-0.15
12-June-2024,10.00,10.23,9.71,9.90,9.889355690225675725,26897,193,265994.00,13654,50.76,0.52,-0.10
11-June-2024,9.72,10.02,9.70,9.73,9.820118949151207215,50778,249,498646.00,40345,79.45,0.32,0.01
10-June-2024,10.08,10.08,9.66,9.72,9.798615531508593252,12568,130,123149.00,8135,64.73,0.42,-0.36
7-June-2024,9.61,10.18,9.60,9.84,9.899233892912462845,23887,120,236463.00,15299,64.05,0.58,0.23
6-June-2024,9.00,9.65,9.00,9.57,9.555699342176210503,37092,153,354440.00,30392,81.94,0.65,0.57
5-June-2024,9.01,9.33,8.84,9.10,9.033982351706848377,90547,258,818000.00,65635,72.49,0.49,0.09
4-June-2024,9.56,9.75,8.84,9.24,9.099847570270105481,164010,445,1492466.00,119838,73.07,0.91,-0.32
3-June-2024,9.83,9.93,9.70,9.82,9.832493567753001715,18656,64,183435.00,14033,75.22,0.23,-0.01
31-May-2024,9.90,10.00,9.61,9.64,9.778519224658404829,18882,110,184638.00,12621,66.84,0.39,-0.26
30-May-2024,9.80,9.95,9.56,9.72,9.735732848232848232,38480,125,374631.00,32483,84.42,0.39,-0.08
29-May-2024,9.55,9.83,9.51,9.64,9.671449925261584454,23415,118,226457.00,21360,91.22,0.32,0.09
28-May-2024,10.00,10.04,9.55,9.70,9.719294766277294091,50423,190,490076.00,37981,75.32,0.49,-0.30
27-May-2024,9.96,10.18,9.66,9.80,9.971434715008766416,60458,131,602853.00,48893,80.87,0.52,-0.16
24-May-2024,9.65,9.98,9.65,9.76,9.821662525412243053,8854,65,86961.00,6782,76.60,0.33,0.11
23-May-2024,9.50,10.00,9.50,9.77,9.848848940658534348,32709,112,322146.00,28313,86.56,0.50,0.27
22-May-2024,9.90,10.44,9.81,10.03,10.047578759879772904,44915,158,451287.00,39861,88.75,0.63,0.13
21-May-2024,9.50,10.13,9.50,9.90,9.847326675707886409,24333,109,239615.00,19287,79.26,0.63,0.40
18-May-2024,10.07,10.07,9.50,9.86,9.825548589341692789,6380,57,62687.00,5638,88.37,0.57,-0.21
17-May-2024,9.94,10.07,9.76,9.87,9.946727299591220264,60913,155,605885.00,46311,76.03,0.31,-0.07
16-May-2024,10.78,10.88,9.71,9.79,9.786229194781826360,177840,325,1740383.00,114634,64.46,1.17,-0.99
15-May-2024,10.89,10.90,10.30,10.78,10.671237026405187274,138647,477,1479535.00,111456,80.39,0.60,-0.11
14-May-2024,10.05,10.49,9.86,10.36,10.139982544608223429,41248,131,418254.00,28548,69.21,0.63,0.31
13-May-2024,10.15,10.15,9.71,9.85,9.836179633143580012,15810,102,155510.00,13557,85.75,0.44,-0.30
10-May-2024,9.90,10.09,9.85,9.95,9.936183841780767075,24978,549,248186.00,17089,68.42,0.24,0.05
9-May-2024,10.27,10.27,9.76,9.97,9.930641165965781439,17359,528,172386.00,13619,78.45,0.51,-0.30
8-May-2024,10.15,10.50,9.66,10.07,10.087184105363876850,17767,544,179219.00,12042,67.78,0.84,-0.08
7-May-2024,9.78,10.04,9.60,9.93,9.873755949805279099,9244,469,91273.00,5139,55.59,0.44,0.15
6-May-2024,10.36,10.36,9.75,9.98,9.958462754842717569,35414,561,352669.00,31486,88.91,0.61,-0.38
3-May-2024,10.05,10.33,9.91,10.17,10.137935407507609063,23656,390,239823.00,20776,87.83,0.42,0.12
2-May-2024,10.10,10.35,10.02,10.21,10.165907162387252899,31819,578,323469.00,26745,84.05,0.33,0.11
30-April-2024,10.70,10.70,10.03,10.21,10.409777972905168088,31888,497,331947.00,21838,68.48,0.67,-0.49
29-April-2024,10.06,10.60,10.06,10.34,10.436175648462625108,33271,314,347222.00,13422,40.34,0.54,0.28
26-April-2024,10.29,10.69,10.29,10.43,10.515797032072762087,20890,332,219675.00,17724,84.84,0.40,0.14
25-April-2024,10.99,10.99,10.50,10.55,10.602615397008673236,37241,539,394852.00,31300,84.05,0.49,-0.44
24-April-2024,10.77,10.80,10.28,10.74,10.647124948903120316,29356,588,312557.00,21756,74.11,0.52,-0.03
23-April-2024,10.60,10.60,10.26,10.30,10.323272971160295103,4473,49,46176.00,3053,68.25,0.34,-0.30
22-April-2024,10.45,10.55,10.11,10.32,10.307935740500626332,45503,373,469042.00,37236,81.83,0.44,-0.13
19-April-2024,10.38,10.38,10.06,10.16,10.202221417360859591,33132,554,338020.00,25128,75.84,0.32,-0.22
18-April-2024,10.21,10.50,10.03,10.35,10.191852356394537965,30831,514,314225.00,20032,64.97,0.47,0.14
16-April-2024,10.21,10.24,9.95,10.01,10.075931891394385641,6519,332,65685.00,6039,92.64,0.29,-0.20
15-April-2024,10.52,10.52,9.90,10.02,10.080950884909414598,19098,543,192526.00,11162,58.45,0.62,-0.50
12-April-2024,10.19,10.35,10.05,10.31,10.142748707244176668,21079,533,213799.00,13646,64.74,0.30,0.12
10-April-2024,10.15,10.59,9.91,10.17,10.251731423876041788,17038,403,174669.00,12130,71.19,0.68,0.02
9-April-2024,9.70,10.19,9.70,10.02,10.047656359311599272,35735,400,359053.00,30570,85.55,0.49,0.32
8-April-2024,10.44,10.64,10.03,10.16,10.267992802878848460,40016,587,410884.00,33521,83.77,0.61,-0.28
5-April-2024,10.70,10.70,10.00,10.40,10.197317690469995505,42277,408,431112.00,36249,85.74,0.70,-0.30
4-April-2024,10.74,10.75,10.38,10.46,10.611298163223721873,103061,760,1093611.00,66519,64.54,0.37,-0.28
3-April-2024,9.93,10.24,9.65,10.24,10.027907415758618158,95351,633,956171.00,71264,74.74,0.59,0.31
2-April-2024,9.25,9.80,9.16,9.76,9.578373662614564558,104308,645,999101.00,74364,71.29,0.64,0.51
1-April-2024,9.15,9.40,8.95,9.35,9.327671256380560202,23313,132,217456.00,14731,63.19,0.45,0.20
28-March-2024,9.33,9.33,8.89,8.97,9.012563676557415315,72829,1295,656376.00,53883,73.99,0.44,-0.36
27-March-2024,9.65,9.65,9.13,9.15,9.313612139824767410,11071,478,103111.00,10134,91.54,0.52,-0.50
26-March-2024,10.10,10.10,9.51,9.59,9.609869072031893077,69733,578,670125.00,57939,83.09,0.59,-0.51
