Date,Open,High,Low,Close,No. of Shares
2015-03-30 00:00:00+05:30,318.5460405545501,329.0057612891771,313.7916220388105,324.2513427734375,25180
2015-03-31 00:00:00+05:30,318.5460690054959,380.35351523044284,313.79165006511533,363.42779541015625,74711
2015-04-01 00:00:00+05:30,363.71301970992096,384.1570195106093,349.92520589085206,359.90948486328125,12241
2015-04-06 00:00:00+05:30,366.09026814504625,378.45175771877507,358.0077557314543,374.7433166503906,19655
2015-04-07 00:00:00+05:30,368.2773175691876,387.4851836805775,331.7633821377463,368.087158203125,17975
2015-04-08 00:00:00+05:30,378.45174572228245,408.88002678538055,370.84467545650796,397.46942138671875,90595
2015-04-09 00:00:00+05:30,411.7326856816814,413.63445328298246,380.35352026021377,385.2030334472656,11973
2015-04-10 00:00:00+05:30,381.30440383498495,394.5216828524635,380.3535200348977,388.626220703125,5727
2015-04-13 00:00:00+05:30,385.107974033398,436.45570390451775,385.107974033398,428.8486328125,96097
2015-04-15 00:00:00+05:30,423.1433201101587,445.0136490147287,406.9782943980852,436.1704406738281,34526
2015-04-16 00:00:00+05:30,432.65213619590327,442.0658801687392,413.63445987959983,420.4808349609375,7458
2015-04-17 00:00:00+05:30,409.9260299129831,426.47140295290666,390.9083530811924,401.1778869628906,7615
2015-04-20 00:00:00+05:30,402.4140639207885,402.4140639207885,371.2250556875696,376.93035888671875,12870
2015-04-21 00:00:00+05:30,380.35353486761085,399.1810232360889,380.35353486761085,386.058837890625,5683
2015-04-22 00:00:00+05:30,338.51463774968465,398.32522384048747,338.51463774968465,388.245849609375,7428
2015-04-23 00:00:00+05:30,386.6293854576652,395.56768798828125,370.8447074890137,380.3535461425781,10482
2015-04-24 00:00:00+05:30,366.09029150855525,380.35354961927817,356.5814527680733,366.66082763671875,7346
2015-04-27 00:00:00+05:30,359.4340763438829,379.30754195704606,323.3004919495243,339.37042236328125,14091
2015-04-28 00:00:00+05:30,351.35156525795526,351.35156525795526,324.2513768686407,342.6985168457031,5332
2015-04-29 00:00:00+05:30,351.8269724358402,361.3358095287008,348.97432130798205,351.4466247558594,2786
2015-04-30 00:00:00+05:30,343.36411938717697,355.6305136533032,337.3735344999978,345.9314880371094,4996
2015-05-04 00:00:00+05:30,360.3849474301192,365.99515584759297,356.4863181845291,357.0568542480469,7039
2015-05-05 00:00:00+05:30,367.61164587006476,367.61164587006476,357.8175263050017,360.09967041015625,2377
2015-05-06 00:00:00+05:30,361.3357989518767,361.3357989518767,331.8584048268552,345.1707763671875,6132
2015-05-07 00:00:00+05:30,342.2230858332218,360.00462512507795,334.1405732494092,340.4164123535156,3116
2015-05-08 00:00:00+05:30,351.7319090041953,354.2042126681635,343.26904905558933,348.0234680175781,3938
2015-05-11 00:00:00+05:30,360.3848977587498,370.84461774647076,343.36408649155516,354.6795959472656,7155
2015-05-12 00:00:00+05:30,352.8729464127013,357.5322707328803,285.83564565028627,343.0788269042969,5077
2015-05-13 00:00:00+05:30,357.53231876174095,357.53231876174095,338.51464223186116,350.6859436035156,4955
2015-05-14 00:00:00+05:30,347.1676410543405,354.96486990185,347.0725468815984,351.82696533203125,1368
2015-05-15 00:00:00+05:30,351.8270416825431,365.0443220393147,347.07262220034653,349.2596435546875,3226
2015-05-18 00:00:00+05:30,351.92207001304456,395.56762688752593,343.4592107223095,392.1444396972656,12921
2015-05-19 00:00:00+05:30,391.76409697939386,411.7326553205765,386.05879459619877,393.5707702636719,9985
2015-05-20 00:00:00+05:30,399.4663167204459,405.55196764098406,384.44233427119417,402.4140625,13762
2015-05-21 00:00:00+05:30,404.1256532497762,426.94686660976356,404.1256532497762,423.7138671875,23235
2015-05-22 00:00:00+05:30,414.5853433747595,438.8328806592924,414.5853433747595,432.36688232421875,10779
2015-05-25 00:00:00+05:30,437.40655968410334,437.40655968410334,413.63446404909774,420.195556640625,7124
2015-05-26 00:00:00+05:30,446.9154282997525,454.1421516674832,411.732724369772,423.7138671875,6531
2015-05-27 00:00:00+05:30,422.1923814461225,436.74089109119024,410.78177654217325,415.44110107421875,6345
2015-05-28 00:00:00+05:30,413.63451331027284,431.70130814451466,393.7610447963419,402.3190002441406,7918
2015-05-29 00:00:00+05:30,399.37119514864077,437.4065470675589,380.35351918918167,431.0356140136719,20396
2015-06-01 00:00:00+05:30,437.40653266843054,469.7365807352276,437.40653266843054,450.5287170410156,29181
2015-06-02 00:00:00+05:30,442.2560420226529,455.09297276648306,427.8976914610053,433.7931823730469,7666
2015-06-03 00:00:00+05:30,427.89765523281346,439.30825937235517,397.469377527369,411.9228210449219,10323
2015-06-04 00:00:00+05:30,408.1193631472185,408.1193631472185,386.0588460511145,394.0462646484375,7025
2015-06-05 00:00:00+05:30,396.5185242747309,398.89573365287674,385.1079192596307,389.6721496582031,5515
2015-06-08 00:00:00+05:30,394.616770134597,399.2760948698016,378.0713981061817,382.1601867675781,3120
2015-06-09 00:00:00+05:30,381.30445660530887,388.91152805878136,368.08717575863534,368.7527770996094,5777
2015-06-10 00:00:00+05:30,385.01283572525523,389.86234879448153,371.1299267693275,372.080810546875,4023
2015-06-11 00:00:00+05:30,384.91774783700254,389.86235516855976,366.0902603412086,376.8352355957031,5824
