Date,Open,High,Low,Close,Total Trades,Dividends,Stock Splits,Traded Quantity
2015-09-03 00:00:00+05:30,187.3572173541058,193.17139636051118,172.54981927925996,179.15171813964844,29253,0.0,0.0,5240725.210739136
2015-09-04 00:00:00+05:30,177.2386511498516,177.2480332270763,168.7987160670869,173.48756408691406,13460,0.0,0.0,2335142.6126098633
2015-09-07 00:00:00+05:30,173.4875718967663,173.4875718967663,166.92318725585938,166.92318725585938,12947,0.0,0.0,2161154.5054016113
2015-09-08 00:00:00+05:30,166.92318725585938,166.92318725585938,166.92318725585938,166.92318725585938,0,0.0,0.0,0.0
2015-09-09 00:00:00+05:30,146.35786480207005,170.67424839516093,146.35786480207005,163.80039978027344,856,0.0,0.0,140213.14221191406
2015-09-10 00:00:00+05:30,153.81316440787538,168.6017986755914,153.81316440787538,155.74496459960938,191,0.0,0.0,29747.28823852539
2015-09-11 00:00:00+05:30,168.41424619148947,168.41424619148947,154.73217812925927,155.6793212890625,161,0.0,0.0,25064.370727539062
2015-09-14 00:00:00+05:30,168.60178172797495,172.54980600771674,156.60769653320312,156.60769653320312,740,0.0,0.0,115889.69543457031
2015-09-15 00:00:00+05:30,165.788469412864,171.61203002929688,165.788469412864,171.61203002929688,65,0.0,0.0,11154.781951904297
2015-09-16 00:00:00+05:30,171.61203002929688,171.61203002929688,171.61203002929688,171.61203002929688,0,0.0,0.0,0.0
2015-09-18 00:00:00+05:30,171.61203002929688,171.61203002929688,171.61203002929688,171.61203002929688,0,0.0,0.0,0.0
2015-09-21 00:00:00+05:30,170.29917394041652,182.8652930971176,167.11075177509983,169.17384338378906,710,0.0,0.0,120113.42880249023
2015-09-22 00:00:00+05:30,167.11074549989848,168.79872685965958,164.10987854003906,164.10987854003906,1082,0.0,0.0,177566.88858032227
2015-09-23 00:00:00+05:30,179.11419677734375,179.11419677734375,179.11419677734375,179.11419677734375,5,0.0,0.0,895.5709838867188
2015-09-24 00:00:00+05:30,179.11419677734375,179.11419677734375,179.11419677734375,179.11419677734375,0,0.0,0.0,0.0
2015-09-28 00:00:00+05:30,178.17645263671875,178.17645263671875,178.17645263671875,178.17645263671875,5,0.0,0.0,890.8822631835938
2015-09-29 00:00:00+05:30,168.79872699708937,168.79872699708937,161.48412188311082,161.59664916992188,73135,0.0,0.0,11818370.937042236
2015-09-30 00:00:00+05:30,169.73651123046875,170.01784387388258,161.67167094286114,169.73651123046875,1727,0.0,0.0,293134.95489501953
2015-10-01 00:00:00+05:30,168.3861124775623,170.68365520403705,168.3861124775623,168.79873657226562,201,0.0,0.0,33928.54605102539
2015-10-05 00:00:00+05:30,172.72799627010292,172.72799627010292,169.73651123046875,169.73651123046875,15,0.0,0.0,2546.0476684570312
2015-10-06 00:00:00+05:30,169.36138057008495,172.36224732535058,168.6111602783203,168.6111602783203,276,0.0,0.0,46536.680236816406
2015-10-07 00:00:00+05:30,168.79869885313434,172.35284840266138,167.1107177734375,167.1107177734375,614,0.0,0.0,102605.98071289062
2015-10-08 00:00:00+05:30,165.04765777403725,165.04765777403725,163.35967622796502,163.5753631591797,1963,0.0,0.0,321098.4378814697
2015-10-09 00:00:00+05:30,168.79873657226562,168.79873657226562,168.79873657226562,168.79873657226562,50,0.0,0.0,8439.936828613281
2015-10-12 00:00:00+05:30,196.93187375534592,196.93187375534592,160.92147950059882,160.93084716796875,186,0.0,0.0,29933.137573242188
2015-10-13 00:00:00+05:30,164.10987854003906,164.10987854003906,164.10987854003906,164.10987854003906,10,0.0,0.0,1641.0987854003906
2015-10-14 00:00:00+05:30,178.1670542573079,178.1670542573079,162.13118104010684,162.1405487060547,75,0.0,0.0,12160.541152954102
2015-10-15 00:00:00+05:30,160.36816128426074,175.54128587534822,160.36816128426074,161.2965545654297,166,0.0,0.0,26775.228057861328
2015-10-16 00:00:00+05:30,161.2965767390017,167.8609619140625,159.4210257645888,167.8609619140625,146,0.0,0.0,24507.700439453125
2015-10-19 00:00:00+05:30,167.86095072953617,168.61117106931437,166.3605244617736,166.46368408203125,151,0.0,0.0,25136.01629638672
2015-10-20 00:00:00+05:30,158.7177094047936,163.50971788740452,141.69716271363396,155.5574188232422,8797,0.0,0.0,1368438.6133880615
2015-10-21 00:00:00+05:30,152.01262842735565,161.03397877005972,152.01262842735565,155.3604736328125,307,0.0,0.0,47695.66540527344
2015-10-23 00:00:00+05:30,162.23431804586372,162.23431804586372,147.9802044361895,160.52757263183594,523,0.0,0.0,83955.9204864502
2015-10-26 00:00:00+05:30,159.4210229800543,160.35879845088104,157.5454864501953,157.5454864501953,896,0.0,0.0,141160.755859375
2015-10-27 00:00:00+05:30,157.54548400703865,159.4210205078125,154.91972714123753,159.4210205078125,1037,0.0,0.0,165319.59826660156
2015-10-28 00:00:00+05:30,159.4210229800543,159.4210229800543,157.5454864501953,157.5454864501953,266,0.0,0.0,41907.09939575195
2015-10-29 00:00:00+05:30,159.4210205078125,159.4210205078125,159.4210205078125,159.4210205078125,730,0.0,0.0,116377.34497070312
2015-10-30 00:00:00+05:30,151.39368718726337,158.47385484572067,151.39368718726337,152.70655822753906,196,0.0,0.0,29930.485412597656
2015-11-02 00:00:00+05:30,152.70655822753906,152.70655822753906,152.70655822753906,152.70655822753906,0,0.0,0.0,0.0
2015-11-03 00:00:00+05:30,159.0365502654594,159.04591793221425,158.6708221435547,158.6708221435547,55,0.0,0.0,8726.895217895508
