Date,Open,High,Low,Close,Total Trades,Traded Quantity
2015-01-01 00:00:00+05:30,4000.0,4350.0,4000.0,4100.0,225,922500.0
2015-01-02 00:00:00+05:30,4250.0,4250.0,3850.0,4050.0,358,1449900.0
2015-01-05 00:00:00+05:30,4150.0,4350.0,4000.0,4050.0,336,1360800.0
2015-01-06 00:00:00+05:30,4000.0,4200.0,3900.0,4000.0,262,1048000.0
2015-01-07 00:00:00+05:30,4000.0,4100.0,3900.0,3900.0,142,553800.0
2015-01-08 00:00:00+05:30,4050.0,4150.0,3800.0,3850.0,133,512050.0
2015-01-09 00:00:00+05:30,3900.0,3950.0,3800.0,3850.0,166,639100.0
2015-01-12 00:00:00+05:30,3900.0,3950.0,3800.0,3800.0,106,402800.0
2015-01-13 00:00:00+05:30,3800.0,3850.0,3750.0,3800.0,135,513000.0
2015-01-14 00:00:00+05:30,3850.0,4500.0,3800.0,4250.0,1373,5835250.0
2015-01-15 00:00:00+05:30,4100.0,4400.0,4050.0,4150.0,404,1676600.0
2015-01-16 00:00:00+05:30,4100.0,4200.0,4100.0,4150.0,114,473100.0
2015-01-19 00:00:00+05:30,4050.0,4250.0,3950.0,4000.0,200,800000.0
2015-01-20 00:00:00+05:30,4050.0,4100.0,3900.0,3950.0,223,880850.0
2015-01-21 00:00:00+05:30,4050.0,4150.0,3950.0,3950.0,174,687300.0
2015-01-22 00:00:00+05:30,4000.0,4000.0,3850.0,3850.0,138,531300.0
2015-01-23 00:00:00+05:30,3850.0,3900.0,3750.0,3800.0,221,839800.0
2015-01-27 00:00:00+05:30,3950.0,3950.0,3650.0,3700.0,176,651200.0
2015-01-28 00:00:00+05:30,3700.0,3850.0,3650.0,3700.0,194,717800.0
2015-01-29 00:00:00+05:30,3700.0,3800.0,3700.0,3700.0,211,780700.0
2015-01-30 00:00:00+05:30,3750.0,3900.0,3700.0,3800.0,243,923400.0
2015-02-02 00:00:00+05:30,3850.0,4100.0,3800.0,3800.0,203,771400.0
2015-02-03 00:00:00+05:30,3900.0,4050.0,3750.0,4000.0,374,1496000.0
2015-02-04 00:00:00+05:30,3900.0,4150.0,3800.0,3900.0,361,1407900.0
2015-02-05 00:00:00+05:30,3850.0,3950.0,3750.0,3800.0,233,885400.0
2015-02-06 00:00:00+05:30,3800.0,3850.0,3700.0,3750.0,148,555000.0
2015-02-09 00:00:00+05:30,3900.0,3900.0,3500.0,3600.0,375,1350000.0
2015-02-10 00:00:00+05:30,3600.0,3950.0,3600.0,3700.0,347,1283900.0
2015-02-11 00:00:00+05:30,3750.0,3850.0,3700.0,3750.0,102,382500.0
2015-02-12 00:00:00+05:30,3800.0,3950.0,3650.0,3900.0,261,1017900.0
2015-02-13 00:00:00+05:30,3800.0,3900.0,3750.0,3750.0,98,367500.0
