Date,Open,High,Low,Close,Total Trades,Traded Quantity
2015-01-27 00:00:00+05:30,105.58936454553927,106.26890454535379,103.52462083804421,103.81211853027344,12813,1330144.6747283936
2015-01-28 00:00:00+05:30,104.30870059467236,107.1052504233449,104.17801982376795,104.570068359375,14909,1559035.1491699219
2015-01-29 00:00:00+05:30,105.32800962257625,107.0007111275448,103.57689965116596,106.556396484375,15226,1622427.6928710938
2015-01-30 00:00:00+05:30,106.63480526705631,108.49045986589209,105.19732915714991,105.87686920166016,22349,2366242.149787903
2015-02-02 00:00:00+05:30,106.03368795166051,106.55639862598937,104.64847168334933,105.24960327148438,11099,1168165.346710205
2015-02-03 00:00:00+05:30,105.51096483154309,107.13139405811854,104.83142477539043,105.24960327148438,17858,1879547.415222168
2015-02-04 00:00:00+05:30,106.47799166843535,107.15751920901172,105.118911695708,106.63479614257812,20015,2134295.444793701
2015-02-05 00:00:00+05:30,105.58937050483202,110.79042807497368,105.58937050483202,108.12456512451172,62593,6767840.904838562
2015-02-06 00:00:00+05:30,107.23593129663954,109.50976426675942,105.380276793813,105.90299987792969,20970,2220785.9074401855
2015-02-09 00:00:00+05:30,105.58937916501984,106.11210231417438,104.30871367248582,104.5439453125,29503,3084360.0185546875
2015-02-10 00:00:00+05:30,104.70074130017368,106.5041235723679,103.42008213464105,104.75301361083984,33568,3516349.160888672
2015-02-11 00:00:00+05:30,106.03368644407487,114.99832559768679,106.03368644407487,113.90061950683594,149817,17064249.11265564
2015-02-12 00:00:00+05:30,113.92675078535072,114.10969142117065,110.81656084380614,113.37789154052734,80254,9099029.307693481
2015-02-13 00:00:00+05:30,113.7960627347284,113.95287965179125,111.86199987007345,113.01197814941406,27236,3077994.2368774414
2015-02-16 00:00:00+05:30,112.90745382080294,116.40967403944045,111.99270075272982,115.52105712890625,82784,9563295.193359375
2015-02-18 00:00:00+05:30,114.99832652843638,119.28463119557114,114.97219037259057,117.69033813476562,65317,7687179.815948486
2015-02-19 00:00:00+05:30,118.10850600879881,118.10850600879881,112.95972056492639,117.06307220458984,34559,4045582.7123184204
2015-02-20 00:00:00+05:30,117.06306856279467,122.55162386716911,115.12900550625577,117.79486846923828,57177,6735157.194465637
2015-02-23 00:00:00+05:30,117.69032137162863,118.50052964165859,113.69151498836484,114.39717864990234,31298,3580402.8973846436
2015-02-24 00:00:00+05:30,116.56647912801962,117.61192532323827,112.38471923872116,112.93357849121094,33253,3755380.2855682373
2015-02-25 00:00:00+05:30,113.48243361692425,115.20740733051849,112.35857899793308,112.69834899902344,17446,1966135.396636963
2015-02-26 00:00:00+05:30,114.39718437401129,114.39718437401129,110.92110085927658,112.67221069335938,19230,2166686.611633301
2015-02-27 00:00:00+05:30,113.43017105752585,115.46877879348327,112.41086096665282,113.74380493164062,30369,3454285.611968994
2015-03-02 00:00:00+05:30,112.69835761003633,114.99832688582633,112.14949833556872,114.13583374023438,29733,3393600.7445983887
2015-03-03 00:00:00+05:30,114.76309608831755,120.17324277355588,113.9528877384501,117.84713745117188,78662,9270091.526184082
