Date,Open,High,Low,Close,Total Trades,Dividends,Stock Splits,Traded Quantity
2015-11-16 00:00:00+05:30,207.94989756516338,209.2048534648873,185.91855199110893,193.5876922607422,23112419,0.0,0.0,4474279856.773331
2015-11-17 00:00:00+05:30,196.37647488957,202.0005140487432,193.91305969491685,200.6061248779297,4260355,0.0,0.0,854653307.1543121
2015-11-18 00:00:00+05:30,200.3272568114062,205.85833136675467,198.5610360910297,200.46669006347656,2325939,0.0,0.0,466273292.6195526
2015-11-19 00:00:00+05:30,201.6286842108056,204.32451199610344,199.86246346328664,201.72164916992188,940698,0.0,0.0,189759151.93084717
2015-11-20 00:00:00+05:30,201.25684651219566,203.34843036740324,199.2117451351071,199.86245727539062,690340,0.0,0.0,137973048.75549316
2015-11-23 00:00:00+05:30,200.51318624664452,212.3190132723433,197.07369534404185,204.64987182617188,2286619,0.0,0.0,467956285.2652893
2015-11-24 00:00:00+05:30,204.83579556169443,208.4147196176998,202.1864501956904,203.44140625,600987,0.0,0.0,122265640.41796875
2015-11-26 00:00:00+05:30,203.81324154311793,206.7414534787326,200.79206464453122,202.2794189453125,530097,0.0,0.0,107227713.14465332
2015-11-27 00:00:00+05:30,201.90756867146825,203.39492293831628,200.0948654105645,200.88502502441406,288555,0.0,0.0,57966378.3959198
2015-11-30 00:00:00+05:30,200.7920474491347,203.85970656649974,200.32725104300246,200.3737335205078,205189,0.0,0.0,41114486.00733948
2015-12-01 00:00:00+05:30,200.7920500999273,202.0005236087172,199.39766086312227,199.86245727539062,437305,0.0,0.0,87400851.8788147
2015-12-02 00:00:00+05:30,201.48924471832984,202.65123574900073,198.9328644508539,199.86245727539062,528017,0.0,0.0,105530775.10317993
2015-12-03 00:00:00+05:30,199.2117335726262,200.9779541629481,198.09622508481974,198.70045471191406,211243,0.0,0.0,41974080.15470886
2015-12-04 00:00:00+05:30,198.5610473864614,199.39767531539863,193.3553215179623,197.30609130859375,291228,0.0,0.0,57461058.35961914
2015-12-07 00:00:00+05:30,198.42160602988483,200.6991058480573,197.07369913214703,199.165283203125,418427,0.0,0.0,83336131.95483398
2015-12-08 00:00:00+05:30,199.72302866322357,208.87950968685442,199.4906304516929,201.58221435546875,1107165,0.0,0.0,223184772.35687256
2015-12-09 00:00:00+05:30,201.58220809544673,204.88225124913203,198.09623503074192,199.7230224609375,591261,0.0,0.0,118088433.98327637
2015-12-10 00:00:00+05:30,199.7230366587082,206.36962010078202,197.16665622953184,205.02171325683594,336893,0.0,0.0,69070380.04423523
2015-12-11 00:00:00+05:30,204.97521720032097,206.3696064329762,200.88501445831656,201.62867736816406,229048,0.0,0.0,46182645.29382324
2015-12-14 00:00:00+05:30,201.5357323284117,205.44001945399359,199.63006415269285,202.69772338867188,110147,0.0,0.0,22326546.13809204
2015-12-15 00:00:00+05:30,201.76811849175465,207.29919277140914,201.76811849175465,203.62730407714844,141228,0.0,0.0,28757876.90020752
2015-12-16 00:00:00+05:30,204.04563767933064,225.42627397374798,204.04563767933064,217.85009765625,2968234,0.0,0.0,646630066.7666016
2015-12-17 00:00:00+05:30,218.12895576896912,224.68258817403273,212.55139868967433,217.29232788085938,986711,0.0,0.0,214404730.13565063
2015-12-18 00:00:00+05:30,217.05992461292817,230.7249363019891,214.50354434446757,226.16993713378906,1356572,0.0,0.0,306815803.9574585
2015-12-21 00:00:00+05:30,226.16994152748578,228.5868744084883,219.709274105851,222.91636657714844,266074,0.0,0.0,59312249.32064819
2015-12-22 00:00:00+05:30,223.10230039354323,230.53904373999467,216.130353506245,217.75714111328125,474621,0.0,0.0,103352112.07232666
