Date,Open,High,Low,Close,Total Trades,Traded Quantity
2024-03-19 00:00:00+05:30,46.70000076293945,46.70000076293945,44.400001525878906,44.400001525878906,1746582,77548243.46507263
2024-03-20 00:00:00+05:30,42.20000076293945,42.20000076293945,42.20000076293945,42.20000076293945,694857,29322965.93013382
2024-03-21 00:00:00+05:30,40.099998474121094,40.099998474121094,40.099998474121094,40.099998474121094,588654,23605024.50178528
2024-03-22 00:00:00+05:30,38.099998474121094,38.099998474121094,38.099998474121094,38.099998474121094,808838,30816726.565811157
2024-03-26 00:00:00+05:30,36.20000076293945,36.20000076293945,36.20000076293945,36.20000076293945,963027,34861578.13473129
2024-03-27 00:00:00+05:30,36.0,38.0,36.0,38.0,9146555,347569090.0
2024-03-28 00:00:00+05:30,39.900001525878906,39.900001525878906,39.900001525878906,39.900001525878906,511075,20391893.279838562
2024-04-01 00:00:00+05:30,41.849998474121094,41.849998474121094,41.849998474121094,41.849998474121094,213164,8920913.074737549
2024-04-02 00:00:00+05:30,43.900001525878906,43.900001525878906,43.900001525878906,43.900001525878906,304383,13362414.1644516
2024-04-03 00:00:00+05:30,46.04999923706055,46.04999923706055,46.04999923706055,46.04999923706055,279117,12853337.637050629
2024-04-04 00:00:00+05:30,49.0,55.25,48.349998474121094,55.25,23536380,1300384995.0
2024-04-05 00:00:00+05:30,60.0,66.30000305175781,60.0,65.6500015258789,37768090,2479475166.129532
2024-04-08 00:00:00+05:30,65.44999694824219,69.4000015258789,63.25,65.44999694824219,11799540,772279856.9906616
2024-04-09 00:00:00+05:30,66.5999984741211,67.25,59.650001525878906,62.150001525878906,5680775,353060174.91817474
2024-04-10 00:00:00+05:30,61.95000076293945,64.0,57.349998474121094,59.04999923706055,4354890,257156251.1774826
2024-04-12 00:00:00+05:30,59.599998474121094,63.0,59.5,61.599998474121094,4048574,249392152.22236633
2024-04-15 00:00:00+05:30,59.0,62.599998474121094,55.70000076293945,60.20000076293945,3448266,207585615.83081818
2024-04-16 00:00:00+05:30,59.099998474121094,62.0,59.0,60.599998474121094,2525006,153015359.7471466
2024-04-18 00:00:00+05:30,60.95000076293945,62.25,58.5,59.650001525878906,2200804,131277961.9581604
2024-04-19 00:00:00+05:30,58.5,60.20000076293945,57.70000076293945,59.650001525878906,2013964,120132955.67306519
2024-04-22 00:00:00+05:30,60.79999923706055,61.20000076293945,59.400001525878906,60.5,1709006,103394863.0
2024-04-23 00:00:00+05:30,61.45000076293945,61.650001525878906,59.400001525878906,59.70000076293945,2048250,122280526.56269073
2024-04-24 00:00:00+05:30,59.849998474121094,65.6500015258789,59.099998474121094,65.6500015258789,7523798,493937350.18040466
2024-04-25 00:00:00+05:30,66.4000015258789,72.19999694824219,66.0,72.19999694824219,9553306,689748664.0456238
2024-04-26 00:00:00+05:30,74.80000305175781,77.8499984741211,73.19999694824219,75.05000305175781,11840800,888652076.1352539
2024-04-29 00:00:00+05:30,76.44999694824219,77.0,70.1500015258789,72.75,6124503,445557593.25
2024-04-30 00:00:00+05:30,70.05000305175781,72.4000015258789,67.30000305175781,68.44999694824219,6573157,449932576.5903168
2024-05-02 00:00:00+05:30,69.4000015258789,70.44999694824219,67.25,68.19999694824219,2920993,199211713.6858368
2024-05-03 00:00:00+05:30,70.9000015258789,70.94999694824219,68.25,69.19999694824219,2045445,141544787.75779724
2024-05-06 00:00:00+05:30,69.69999694824219,70.19999694824219,64.5999984741211,66.05000305175781,2329164,153841289.30804443
2024-05-07 00:00:00+05:30,66.0,66.30000305175781,63.150001525878906,64.0,2349005,150336320.0
2024-05-08 00:00:00+05:30,63.95000076293945,67.1500015258789,62.5,65.3499984741211,2276797,148788680.47588348
2024-05-09 00:00:00+05:30,65.5999984741211,66.44999694824219,62.099998474121094,62.79999923706055,1515568,95177669.24371338
2024-05-10 00:00:00+05:30,63.0,63.70000076293945,60.5,62.849998474121094,1243427,78149385.05268097
2024-05-13 00:00:00+05:30,63.599998474121094,63.75,60.0,61.5,1513603,93086584.5
2024-05-14 00:00:00+05:30,63.0,67.6500015258789,62.29999923706055,67.6500015258789,3232936,218708125.33306885
2024-05-15 00:00:00+05:30,69.05000305175781,71.19999694824219,67.8499984741211,68.5999984741211,4502003,308837398.9304886
2024-05-16 00:00:00+05:30,69.4000015258789,69.5999984741211,67.8499984741211,68.9000015258789,1608625,110834264.95456696
2024-05-17 00:00:00+05:30,69.05000305175781,73.3499984741211,68.30000305175781,69.9000015258789,4020570,281037849.13490295
2024-05-21 00:00:00+05:30,70.30000305175781,70.80000305175781,68.5999984741211,68.94999694824219,1827962,126037974.32150269
2024-05-22 00:00:00+05:30,69.0,69.69999694824219,66.8499984741211,68.30000305175781,1383020,94460270.22064209
2024-05-23 00:00:00+05:30,68.69999694824219,72.80000305175781,68.05000305175781,69.30000305175781,3735014,258836481.59835815
2024-05-24 00:00:00+05:30,69.1500015258789,71.25,69.0,69.30000305175781,2430686,168446547.217865
2024-05-27 00:00:00+05:30,69.9000015258789,75.80000305175781,69.30000305175781,70.25,7969890,559884772.5
2024-05-28 00:00:00+05:30,70.4000015258789,70.9000015258789,68.0999984741211,68.69999694824219,2467403,169510578.57008362
2024-05-29 00:00:00+05:30,68.05000305175781,70.19999694824219,67.1500015258789,68.1500015258789,1861103,126834172.28981781
2024-05-30 00:00:00+05:30,68.05000305175781,68.75,65.0,66.19999694824219,2425247,160551343.99873352
2024-05-31 00:00:00+05:30,67.0,67.25,64.5999984741211,66.69999694824219,2180475,145437675.84571838
2024-06-03 00:00:00+05:30,73.0,73.3499984741211,69.1500015258789,69.75,3637464,253713114.0
2024-06-04 00:00:00+05:30,69.80000305175781,69.80000305175781,62.79999923706055,62.79999923706055,4648739,291940805.6532936
2024-06-05 00:00:00+05:30,59.79999923706055,65.19999694824219,56.75,63.849998474121094,3364211,214804867.2166214
2024-06-06 00:00:00+05:30,66.0,66.75,64.6500015258789,65.19999694824219,1130914,73735589.34872437
2024-06-07 00:00:00+05:30,66.19999694824219,70.5999984741211,65.69999694824219,68.3499984741211,2793398,190928749.03761292
2024-06-10 00:00:00+05:30,69.29000091552734,69.4000015258789,66.0,66.44000244140625,1662667,110467599.5392456
2024-06-11 00:00:00+05:30,66.9800033569336,69.0,66.69999694824219,67.77999877929688,2190657,148482728.78585815
2024-06-12 00:00:00+05:30,71.94999694824219,74.5,69.61000061035156,70.1500015258789,5701108,399932734.89920044
2024-06-13 00:00:00+05:30,71.0,71.48999786376953,69.51000213623047,69.68000030517578,1888728,131606567.61639404
2024-06-14 00:00:00+05:30,69.68000030517578,70.94999694824219,69.12000274658203,69.87000274658203,4993894,348923387.4961395
2024-06-18 00:00:00+05:30,70.0,82.9000015258789,68.75,77.48999786376953,33675660,2609526821.461029
2024-06-19 00:00:00+05:30,78.33000183105469,78.44999694824219,74.5,74.93000030517578,6087701,456151437.7878189
2024-06-20 00:00:00+05:30,75.5,80.55000305175781,74.05000305175781,79.26000213623047,12070390,956699137.1851349
2024-06-21 00:00:00+05:30,81.0,88.9000015258789,80.80000305175781,82.19000244140625,18061910,1484508426.99646
2024-06-24 00:00:00+05:30,82.5,84.8499984741211,79.19000244140625,81.79000091552734,7218326,590386890.1485748
2024-06-25 00:00:00+05:30,82.30000305175781,85.6500015258789,81.12000274658203,81.93000030517578,5307030,434804969.519577
2024-06-26 00:00:00+05:30,82.3499984741211,83.8499984741211,80.80999755859375,82.27999877929688,3996924,328866901.8409424
2024-06-27 00:00:00+05:30,82.44999694824219,86.19999694824219,80.31999969482422,81.61000061035156,5860756,478296300.7371216
2024-06-28 00:00:00+05:30,82.08000183105469,82.44999694824219,79.41000366210938,81.20999908447266,2979289,241948056.96237946
